From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology IDs	Gene Ontology (molecular function)	Gene Ontology (GO)	Gene Names (primary)
RMX38400.1	A0A3M6TAH5	unreviewed	A0A3M6TAH5_POCDA	Uncharacterized protein	pdam_00011814	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	476						
CAH3150210.1	A0AAU9XK80	unreviewed	A0AAU9XK80_9CNID	Dynamin-type G domain-containing protein	PMEA_00024657	Pocillopora meandrina	673	mitochondrial outer membrane [GO:0005741]	mitochondrial fusion [GO:0008053]; mitochondrion localization [GO:0051646]	GO:0003924; GO:0005525; GO:0005741; GO:0008053; GO:0051646	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	mitochondrial outer membrane [GO:0005741]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; mitochondrial fusion [GO:0008053]; mitochondrion localization [GO:0051646]	
RMX56776.1	A0A3M6USX0	unreviewed	A0A3M6USX0_POCDA	Fibrinogen C-terminal domain-containing protein	pdam_00018061	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1261	fibrinogen complex [GO:0005577]	fibrinolysis [GO:0042730]; positive regulation of heterotypic cell-cell adhesion [GO:0034116]	GO:0005201; GO:0005577; GO:0030674; GO:0034116; GO:0042730	extracellular matrix structural constituent [GO:0005201]; protein-macromolecule adaptor activity [GO:0030674]	fibrinogen complex [GO:0005577]; extracellular matrix structural constituent [GO:0005201]; protein-macromolecule adaptor activity [GO:0030674]; fibrinolysis [GO:0042730]; positive regulation of heterotypic cell-cell adhesion [GO:0034116]	
RMX52188.1	A0A3M6UFJ6	unreviewed	A0A3M6UFJ6_POCDA	C2H2-type domain-containing protein	pdam_00024474	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	111						
KAK2559514.1	A0AAD9QDV7	unreviewed	A0AAD9QDV7_ACRCE	Endonuclease/exonuclease/phosphatase domain-containing protein	P5673_018161	Acropora cervicornis (Staghorn coral)	335			GO:0003824	catalytic activity [GO:0003824]	catalytic activity [GO:0003824]	
CAH3127980.1	A0AAU9WW47	unreviewed	A0AAU9WW47_9CNID	Uncharacterized protein	PMEA_00013223	Pocillopora meandrina	475						
CAH3131503.1	A0AAU9WZP2	unreviewed	A0AAU9WZP2_9CNID	PHD-type domain-containing protein	PMEA_00014835	Pocillopora meandrina	230		DNA repair [GO:0006281]	GO:0006281; GO:0008270	zinc ion binding [GO:0008270]	zinc ion binding [GO:0008270]; DNA repair [GO:0006281]	
RMX54826.1	A0A3M6UME0	unreviewed	A0A3M6UME0_POCDA	Uncharacterized protein	pdam_00022538	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	121						
CAH3153441.1	A0AAU9XMV2	unreviewed	A0AAU9XMV2_9CNID	Stimulator of interferon genes protein	PMEA_00027115	Pocillopora meandrina	339	autophagosome [GO:0005776]; endoplasmic reticulum membrane [GO:0005789]	activation of innate immune response [GO:0002218]; autophagosome assembly [GO:0000045]; innate immune response [GO:0045087]; positive regulation of macroautophagy [GO:0016239]; positive regulation of type I interferon production [GO:0032481]; reticulophagy [GO:0061709]	GO:0000045; GO:0002218; GO:0005776; GO:0005789; GO:0016239; GO:0032481; GO:0035438; GO:0045087; GO:0061507; GO:0061709	2',3'-cyclic GMP-AMP binding [GO:0061507]; cyclic-di-GMP binding [GO:0035438]	autophagosome [GO:0005776]; endoplasmic reticulum membrane [GO:0005789]; 2',3'-cyclic GMP-AMP binding [GO:0061507]; cyclic-di-GMP binding [GO:0035438]; activation of innate immune response [GO:0002218]; autophagosome assembly [GO:0000045]; innate immune response [GO:0045087]; positive regulation of macroautophagy [GO:0016239]; positive regulation of type I interferon production [GO:0032481]; reticulophagy [GO:0061709]	
RMX59377.1	A0A3M6V0H6	unreviewed	A0A3M6V0H6_POCDA	Uncharacterized protein	pdam_00016376	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	240						
CAH3107726.1	A0AAU9WA52	unreviewed	A0AAU9WA52_9CNID	Tyr recombinase domain-containing protein	PMEA_00003057	Pocillopora meandrina	417		DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	DNA binding [GO:0003677]	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	
CAH3158378.1	A0AAU9XUG8	unreviewed	A0AAU9XUG8_9CNID	Uncharacterized protein	PMEA_00030442	Pocillopora meandrina	124						
RMX50131.1	A0A3M6U949	unreviewed	A0A3M6U949_POCDA	RING-type domain-containing protein	pdam_00002911	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	160			GO:0008270	zinc ion binding [GO:0008270]	zinc ion binding [GO:0008270]	
PFX14078.1	A0A2B4RCH1	unreviewed	A0A2B4RCH1_STYPI	Retrovirus-related Pol polyprotein	pol AWC38_SpisGene21796	Stylophora pistillata (Smooth cauliflower coral)	623						pol
RMX60336.1	A0A3M6V316	unreviewed	A0A3M6V316_POCDA	PHD-type domain-containing protein	pdam_00024673	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	93						
CAH3110492.1	A0AAU9WDD9	unreviewed	A0AAU9WDD9_9CNID	Nephrocystin-3	PMEA_00003698	Pocillopora meandrina	1177		Wnt signaling pathway [GO:0016055]	GO:0016055		Wnt signaling pathway [GO:0016055]	
KAK2549381.1	A0AAD9PV05	unreviewed	A0AAD9PV05_ACRCE	Uncharacterized protein	P5673_030206	Acropora cervicornis (Staghorn coral)	726						
CAH3168768.1	A0AAU9Y425	unreviewed	A0AAU9Y425_9CNID	Uncharacterized protein	PMEA_00009395	Pocillopora meandrina	240						
RMX52875.1	A0A3M6UGT7	unreviewed	A0A3M6UGT7_POCDA	Uncharacterized protein	pdam_00016252	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	234		negative regulation of biosynthetic process [GO:0009890]	GO:0009890		negative regulation of biosynthetic process [GO:0009890]	
CAH3106445.1	A0AAU9WD39	unreviewed	A0AAU9WD39_9CNID	Uncharacterized protein	PMEA_00001543	Pocillopora meandrina	370	fibrinogen complex [GO:0005577]	fibrinolysis [GO:0042730]; positive regulation of heterotypic cell-cell adhesion [GO:0034116]	GO:0005201; GO:0005524; GO:0005577; GO:0030674; GO:0034116; GO:0042730	ATP binding [GO:0005524]; extracellular matrix structural constituent [GO:0005201]; protein-macromolecule adaptor activity [GO:0030674]	fibrinogen complex [GO:0005577]; ATP binding [GO:0005524]; extracellular matrix structural constituent [GO:0005201]; protein-macromolecule adaptor activity [GO:0030674]; fibrinolysis [GO:0042730]; positive regulation of heterotypic cell-cell adhesion [GO:0034116]	
CAH3128127.1	A0AAU9WWK2	unreviewed	A0AAU9WWK2_9CNID	TNF receptor-associated factor 4	PMEA_00013303	Pocillopora meandrina	454	cytoplasm [GO:0005737]	regulation of apoptotic process [GO:0042981]; regulation of canonical NF-kappaB signal transduction [GO:0043122]; signal transduction [GO:0007165]	GO:0005737; GO:0007165; GO:0008270; GO:0042981; GO:0043122	zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]; regulation of apoptotic process [GO:0042981]; regulation of canonical NF-kappaB signal transduction [GO:0043122]; signal transduction [GO:0007165]	
RMX48959.1	A0A3M6U5W7	unreviewed	A0A3M6U5W7_POCDA	Multidrug resistance-associated protein 4	pdam_00008275	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1414	membrane [GO:0016020]		GO:0005524; GO:0016020; GO:0016887; GO:0140359	ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	membrane [GO:0016020]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	
RMX58919.1	A0A3M6UZ97	unreviewed	A0A3M6UZ97_POCDA	La-related protein 7 (La ribonucleoprotein domain family member 7)	pdam_00018853	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	551	nucleoplasm [GO:0005654]; ribonucleoprotein complex [GO:1990904]	cell differentiation [GO:0030154]; mRNA processing [GO:0006397]; RNA splicing [GO:0008380]; spermatogenesis [GO:0007283]	GO:0003723; GO:0005654; GO:0006397; GO:0007283; GO:0008380; GO:0030154; GO:1990904	RNA binding [GO:0003723]	nucleoplasm [GO:0005654]; ribonucleoprotein complex [GO:1990904]; RNA binding [GO:0003723]; cell differentiation [GO:0030154]; mRNA processing [GO:0006397]; RNA splicing [GO:0008380]; spermatogenesis [GO:0007283]	
RMX52567.1	A0A3M6UFV6	unreviewed	A0A3M6UFV6_POCDA	Uncharacterized protein	pdam_00024935	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	218						
CAH3128138.1	A0AAU9WVY2	unreviewed	A0AAU9WVY2_9CNID	TNF receptor-associated factor	PMEA_00013313	Pocillopora meandrina	434	cytoplasm [GO:0005737]	regulation of apoptotic process [GO:0042981]; regulation of canonical NF-kappaB signal transduction [GO:0043122]; signal transduction [GO:0007165]	GO:0005737; GO:0007165; GO:0008270; GO:0042981; GO:0043122	zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]; regulation of apoptotic process [GO:0042981]; regulation of canonical NF-kappaB signal transduction [GO:0043122]; signal transduction [GO:0007165]	
CAH3158925.1	A0AAU9XTZ9	unreviewed	A0AAU9XTZ9_9CNID	Ig-like domain-containing protein	PMEA_00030700	Pocillopora meandrina	268						
CAH3129482.1	A0AAU9WXM2	unreviewed	A0AAU9WXM2_9CNID	Uncharacterized protein	PMEA_00013976	Pocillopora meandrina	137						
CAH3133359.1	A0AAU9X1H2	unreviewed	A0AAU9X1H2_9CNID	Peptidase M28 domain-containing protein	PMEA_00015032	Pocillopora meandrina	227	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]	
CAH3165674.1	A0AAU9Y2F1	unreviewed	A0AAU9Y2F1_9CNID	Uncharacterized protein	PMEA_00004317	Pocillopora meandrina	119						
CAH3143608.1	A0AAU9XCP5	unreviewed	A0AAU9XCP5_9CNID	EGF-like domain-containing protein	PMEA_00020633	Pocillopora meandrina	767			GO:0005112; GO:0005509; GO:0005524	ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; Notch binding [GO:0005112]	ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; Notch binding [GO:0005112]	
CAB3992329.1	A0A6S7GQW4	unreviewed	A0A6S7GQW4_PARCT	Retrovirus-related Pol poly from transposon TNT 1-94	PACLA_8A056317	Paramuricea clavata (Red gorgonian) (Violescent sea-whip)	1213		DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003676; GO:0003887; GO:0003964; GO:0004190; GO:0004519; GO:0006310; GO:0008270; GO:0015074	aspartic-type endopeptidase activity [GO:0004190]; DNA-directed DNA polymerase activity [GO:0003887]; endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]; zinc ion binding [GO:0008270]	aspartic-type endopeptidase activity [GO:0004190]; DNA-directed DNA polymerase activity [GO:0003887]; endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	
RMX56158.1	A0A3M6US38	unreviewed	A0A3M6US38_POCDA	Reverse transcriptase domain-containing protein	pdam_00012102	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	417						
RMX52015.1	A0A3M6UEH2	unreviewed	A0A3M6UEH2_POCDA	Uncharacterized protein	pdam_00003688	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	965						
RMX58239.1	A0A3M6UXC5	unreviewed	A0A3M6UXC5_POCDA	Uncharacterized protein	pdam_00000068	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	250						
CAH3112925.1	A0AAU9WIW6	unreviewed	A0AAU9WIW6_9CNID	Uncharacterized protein	PMEA_00004712	Pocillopora meandrina	349	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]	
RMX36919.1	A0A3M6T6I6	unreviewed	A0A3M6T6I6_POCDA	Uncharacterized protein	pdam_00001022	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	3917	cytoskeleton [GO:0005856]		GO:0005856		cytoskeleton [GO:0005856]	
CAH3137076.1	A0AAU9X6F6	unreviewed	A0AAU9X6F6_9CNID	mitogen-activated protein kinase kinase (EC 2.7.12.2)	PMEA_00017976	Pocillopora meandrina	363			GO:0004674; GO:0004708; GO:0005524	ATP binding [GO:0005524]; MAP kinase kinase activity [GO:0004708]; protein serine/threonine kinase activity [GO:0004674]	ATP binding [GO:0005524]; MAP kinase kinase activity [GO:0004708]; protein serine/threonine kinase activity [GO:0004674]	
CAH3167388.1	A0AAU9Y3A2	unreviewed	A0AAU9Y3A2_9CNID	Uncharacterized protein	PMEA_00007046	Pocillopora meandrina	164						
CAH3116422.1	A0AAU9WJX0	unreviewed	A0AAU9WJX0_9CNID	Peptidase C14 caspase domain-containing protein	PMEA_00006422	Pocillopora meandrina	779	cytoplasm [GO:0005737]	proteolysis [GO:0006508]	GO:0004197; GO:0005737; GO:0006508	cysteine-type endopeptidase activity [GO:0004197]	cytoplasm [GO:0005737]; cysteine-type endopeptidase activity [GO:0004197]; proteolysis [GO:0006508]	
KAJ7374711.1	A0A9X0CT99	unreviewed	A0A9X0CT99_9CNID	Uncharacterized protein	OS493_005055	Desmophyllum pertusum	82						
RMX41863.1	A0A3M6TK96	unreviewed	A0A3M6TK96_POCDA	CCHC-type domain-containing protein	pdam_00019613	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	239		activation of innate immune response [GO:0002218]	GO:0002218; GO:0003690; GO:0003723; GO:0008270	double-stranded DNA binding [GO:0003690]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]	double-stranded DNA binding [GO:0003690]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]; activation of innate immune response [GO:0002218]	
RMX49585.1	A0A3M6U7F1	unreviewed	A0A3M6U7F1_POCDA	Uncharacterized protein	pdam_00025199	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	245						
CAH3135088.1	A0AAU9X4G2	unreviewed	A0AAU9X4G2_9CNID	EGF-like domain-containing protein	PMEA_00016019	Pocillopora meandrina	204						
CAH3123954.1	A0AAU9WSQ1	unreviewed	A0AAU9WSQ1_9CNID	C2H2-type domain-containing protein	PMEA_00011621	Pocillopora meandrina	450			GO:0008270	zinc ion binding [GO:0008270]	zinc ion binding [GO:0008270]	
CAH3130130.1	A0AAU9WYA0	unreviewed	A0AAU9WYA0_9CNID	RNA 3'-terminal phosphate cyclase	PMEA_00013826	Pocillopora meandrina	536	nucleus [GO:0005634]	RNA processing [GO:0006396]	GO:0003963; GO:0005634; GO:0006396	RNA-3'-phosphate cyclase activity [GO:0003963]	nucleus [GO:0005634]; RNA-3'-phosphate cyclase activity [GO:0003963]; RNA processing [GO:0006396]	
CAH3144338.1	A0AAU9XF65	unreviewed	A0AAU9XF65_9CNID	Uncharacterized protein	PMEA_00020981	Pocillopora meandrina	558						
CAH3135045.1	A0AAU9X2U8	unreviewed	A0AAU9X2U8_9CNID	EGF-like domain-containing protein	PMEA_00016001	Pocillopora meandrina	295			GO:0005524	ATP binding [GO:0005524]	ATP binding [GO:0005524]	
CAH3141234.1	A0AAU9XA07	unreviewed	A0AAU9XA07_9CNID	NACHT domain-containing protein	PMEA_00019597	Pocillopora meandrina	1522						
CAH3163857.1	A0AAU9Y340	unreviewed	A0AAU9Y340_9CNID	Fibronectin type-III domain-containing protein	PMEA_00035784	Pocillopora meandrina	574		cell-cell adhesion [GO:0098609]	GO:0098609		cell-cell adhesion [GO:0098609]	
KAJ7374940.1	A0A9X0CTG7	unreviewed	A0A9X0CTG7_9CNID	Uncharacterized protein	OS493_005300	Desmophyllum pertusum	308						
CAH3129616.1	A0AAU9WY24	unreviewed	A0AAU9WY24_9CNID	Secreted protein	PMEA_00013613	Pocillopora meandrina	100						
KAK2559137.1	A0AAD9QD07	unreviewed	A0AAD9QD07_ACRCE	Endonuclease/exonuclease/phosphatase domain-containing protein	P5673_018260 P5673_018380	Acropora cervicornis (Staghorn coral)	214						
CAH3031438.1	A0AAU9VML3	unreviewed	A0AAU9VML3_9CNID	Uncharacterized protein	PMEA_00000136	Pocillopora meandrina	178						
CAH3135015.1	A0AAU9X2L8	unreviewed	A0AAU9X2L8_9CNID	WSC domain-containing protein	PMEA_00015988	Pocillopora meandrina	974	plasma membrane [GO:0005886]		GO:0005886		plasma membrane [GO:0005886]	
CAH3166578.1	A0AAU9Y3A7	unreviewed	A0AAU9Y3A7_9CNID	SH3 domain-containing protein	PMEA_00005345	Pocillopora meandrina	161						
PFX23348.1	A0A2B4S467	unreviewed	A0A2B4S467_STYPI	Putative RNA-directed DNA polymerase from transposon X-element	AWC38_SpisGene12109	Stylophora pistillata (Smooth cauliflower coral)	704			GO:0003964	RNA-directed DNA polymerase activity [GO:0003964]	RNA-directed DNA polymerase activity [GO:0003964]	
PFX14258.1	A0A2B4RCZ4	unreviewed	A0A2B4RCZ4_STYPI	Uncharacterized transposon-derived protein F54H12.3	F54H12.3 AWC38_SpisGene21605	Stylophora pistillata (Smooth cauliflower coral)	467		DNA integration [GO:0015074]	GO:0003676; GO:0015074	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	F54H12.3
CAH3161686.1	A0AAU9XXM1	unreviewed	A0AAU9XXM1_9CNID	Uncharacterized protein	PMEA_00033982	Pocillopora meandrina	3006	external side of plasma membrane [GO:0009897]; receptor complex [GO:0043235]		GO:0004896; GO:0009897; GO:0019955; GO:0043235	cytokine binding [GO:0019955]; cytokine receptor activity [GO:0004896]	external side of plasma membrane [GO:0009897]; receptor complex [GO:0043235]; cytokine binding [GO:0019955]; cytokine receptor activity [GO:0004896]	
CAH3036002.1	A0AAU9VRA0	unreviewed	A0AAU9VRA0_9CNID	Uncharacterized protein	PMEA_00016598	Pocillopora meandrina	305						
CAH3114772.1	A0AAU9WH36	unreviewed	A0AAU9WH36_9CNID	Uncharacterized protein	PMEA_00005635	Pocillopora meandrina	122						
CAH3119322.1	A0AAU9WML7	unreviewed	A0AAU9WML7_9CNID	Uncharacterized protein	PMEA_00008241	Pocillopora meandrina	418						
PFX20965.1	A0A2B4RXI5	unreviewed	A0A2B4RXI5_STYPI	Uncharacterized protein	AWC38_SpisGene14566	Stylophora pistillata (Smooth cauliflower coral)	1127						
CAH3033875.1	A0AAU9VR89	unreviewed	A0AAU9VR89_9CNID	Uncharacterized protein	PMEA_00010347	Pocillopora meandrina	3447	plasma membrane [GO:0005886]	detection of mechanical stimulus [GO:0050982]	GO:0005262; GO:0005886; GO:0050982	calcium channel activity [GO:0005262]	plasma membrane [GO:0005886]; calcium channel activity [GO:0005262]; detection of mechanical stimulus [GO:0050982]	
PFX34724.1	A0A2B4SVM1	unreviewed	A0A2B4SVM1_STYPI	RNA-directed DNA polymerase from mobile element jockey	pol AWC38_SpisGene332	Stylophora pistillata (Smooth cauliflower coral)	2230			GO:0003964	RNA-directed DNA polymerase activity [GO:0003964]	RNA-directed DNA polymerase activity [GO:0003964]	pol
RMX52729.1	A0A3M6UGN2	unreviewed	A0A3M6UGN2_POCDA	Uncharacterized protein	pdam_00022397	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	155						
CAH3036522.1	A0AAU9VWM4	unreviewed	A0AAU9VWM4_9CNID	Uncharacterized protein	PMEA_00016935	Pocillopora meandrina	111						
CAH3143217.1	A0AAU9XCI6	unreviewed	A0AAU9XCI6_9CNID	Uncharacterized protein	PMEA_00020495	Pocillopora meandrina	222						
CAH3155174.1	A0AAU9XS45	unreviewed	A0AAU9XS45_9CNID	Uncharacterized protein	PMEA_00027842	Pocillopora meandrina	162						
CAH3155049.1	A0AAU9XQV8	unreviewed	A0AAU9XQV8_9CNID	VWFA domain-containing protein	PMEA_00027942	Pocillopora meandrina	1400	voltage-gated calcium channel complex [GO:0005891]		GO:0005245; GO:0005891	voltage-gated calcium channel activity [GO:0005245]	voltage-gated calcium channel complex [GO:0005891]; voltage-gated calcium channel activity [GO:0005245]	
PFX18832.1	A0A2B4RRH0	unreviewed	A0A2B4RRH0_STYPI	Uncharacterized protein	AWC38_SpisGene16771	Stylophora pistillata (Smooth cauliflower coral)	503						
RMX48989.1	A0A3M6U607	unreviewed	A0A3M6U607_POCDA	EF-hand domain-containing protein	pdam_00008266	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	409	trans-Golgi network membrane [GO:0032588]		GO:0005509; GO:0032588	calcium ion binding [GO:0005509]	trans-Golgi network membrane [GO:0032588]; calcium ion binding [GO:0005509]	
KAK2559266.1	A0AAD9QE69	unreviewed	A0AAD9QE69_ACRCE	Uncharacterized protein	P5673_018413	Acropora cervicornis (Staghorn coral)	447			GO:0003676; GO:0008270	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	
CAH3163242.1	A0AAU9Y059	unreviewed	A0AAU9Y059_9CNID	Uncharacterized protein	PMEA_00035466	Pocillopora meandrina	339						
RMX58485.1	A0A3M6UXU6	unreviewed	A0A3M6UXU6_POCDA	Malonyl-CoA:ACP transacylase (MAT) domain-containing protein	pdam_00010751	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	835		fatty acid biosynthetic process [GO:0006633]	GO:0004312; GO:0006633	fatty acid synthase activity [GO:0004312]	fatty acid synthase activity [GO:0004312]; fatty acid biosynthetic process [GO:0006633]	
RMX50401.1	A0A3M6U9X2	unreviewed	A0A3M6U9X2_POCDA	Uncharacterized protein	pdam_00010453	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	136						
CAH3103234.1	A0AAU9W8Q4	unreviewed	A0AAU9W8Q4_9CNID	Uncharacterized protein	PMEA_00034715	Pocillopora meandrina	233						
RMX37887.1	A0A3M6T914	unreviewed	A0A3M6T914_POCDA	Uncharacterized protein	pdam_00007101	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	743						
CAH3125389.1	A0AAU9WT78	unreviewed	A0AAU9WT78_9CNID	HYR domain-containing protein	PMEA_00012090	Pocillopora meandrina	452						
RMX59712.1	A0A3M6V1C5	unreviewed	A0A3M6V1C5_POCDA	Uncharacterized protein	pdam_00025329	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	292						
CAH3040115.1	A0AAU9VZZ8	unreviewed	A0AAU9VZZ8_9CNID	Integrase catalytic domain-containing protein	PMEA_00025721	Pocillopora meandrina	303						
CAH3119297.1	A0AAU9WML1	unreviewed	A0AAU9WML1_9CNID	Uncharacterized protein	PMEA_00008225	Pocillopora meandrina	629						
