From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology IDs	Gene Ontology (molecular function)	Gene Ontology (GO)	Gene Names (primary)
XP_022791287.1	A0A2B4S9M9	unreviewed	A0A2B4S9M9_STYPI	Uncharacterized protein	AWC38_SpisGene10161	Stylophora pistillata (Smooth cauliflower coral)	299						
XP_022796582.1	A0A2B4SBC4	unreviewed	A0A2B4SBC4_STYPI	Manganese-dependent ADP-ribose/CDP-alcohol diphosphatase	ADPRM AWC38_SpisGene9216	Stylophora pistillata (Smooth cauliflower coral)	507			GO:0008663; GO:0030145; GO:0047631; GO:0047734	2',3'-cyclic-nucleotide 2'-phosphodiesterase activity [GO:0008663]; ADP-ribose diphosphatase activity [GO:0047631]; CDP-glycerol diphosphatase activity [GO:0047734]; manganese ion binding [GO:0030145]	2',3'-cyclic-nucleotide 2'-phosphodiesterase activity [GO:0008663]; ADP-ribose diphosphatase activity [GO:0047631]; CDP-glycerol diphosphatase activity [GO:0047734]; manganese ion binding [GO:0030145]	ADPRM
XP_031574197.1	A0A6P8J3G9	unreviewed	A0A6P8J3G9_ACTTE	Chymotrypsinogen B-like isoform X2	LOC116307992	Actinia tenebrosa (Australian red waratah sea anemone)	294		proteolysis [GO:0006508]	GO:0004252; GO:0006508	serine-type endopeptidase activity [GO:0004252]	serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]	LOC116307992
XP_031573146.1	A0A6P8J020	unreviewed	A0A6P8J020_ACTTE	Uncharacterized protein LOC116307132	LOC116307132	Actinia tenebrosa (Australian red waratah sea anemone)	805		DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	DNA binding [GO:0003677]	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	LOC116307132
XP_031570271.1	A0A6P8ISV2	unreviewed	A0A6P8ISV2_ACTTE	Uncharacterized protein K02A2.6-like	LOC116304651	Actinia tenebrosa (Australian red waratah sea anemone)	494		DNA integration [GO:0015074]	GO:0003676; GO:0003964; GO:0004519; GO:0015074	endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]	endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]; DNA integration [GO:0015074]	LOC116304651
XP_031562198.1	A0A6P8I2Z2	unreviewed	A0A6P8I2Z2_ACTTE	Uncharacterized protein LOC116297997	LOC116297997	Actinia tenebrosa (Australian red waratah sea anemone)	542	nucleus [GO:0005634]		GO:0005634		nucleus [GO:0005634]	LOC116297997
XP_027044269.1	A0A3M6TWL1	unreviewed	A0A3M6TWL1_POCDA	C2 domain-containing protein	pdam_00004157	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	419			GO:0005543	phospholipid binding [GO:0005543]	phospholipid binding [GO:0005543]	
XP_027044269.1	A0A3M6TWS3	unreviewed	A0A3M6TWS3_POCDA	C2 domain-containing protein	pdam_00004158	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	479			GO:0005543	phospholipid binding [GO:0005543]	phospholipid binding [GO:0005543]	
XP_027056988.1	A0A3M6V6H0	unreviewed	A0A3M6V6H0_POCDA	BEN domain-containing protein	pdam_00025385	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	83						
XP_031574611.1	A0A6P8J3M4	unreviewed	A0A6P8J3M4_ACTTE	Uncharacterized protein LOC116308345	LOC116308345	Actinia tenebrosa (Australian red waratah sea anemone)	247						LOC116308345
XP_022809722.1	A0A2B4R3D8	unreviewed	A0A2B4R3D8_STYPI	Uncharacterized protein	AWC38_SpisGene23124	Stylophora pistillata (Smooth cauliflower coral)	810						
XP_022789276.1	A0A2B4T035	unreviewed	A0A2B4T035_STYPI	Pro-Pol polyprotein	pol AWC38_SpisGene1041	Stylophora pistillata (Smooth cauliflower coral)	2521		DNA integration [GO:0015074]	GO:0003676; GO:0008270; GO:0015074	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]	pol
XP_031572077.1	A0A6P8IY47	unreviewed	A0A6P8IY47_ACTTE	Uncharacterized protein LOC116306168	LOC116306168	Actinia tenebrosa (Australian red waratah sea anemone)	784			GO:0008270	zinc ion binding [GO:0008270]	zinc ion binding [GO:0008270]	LOC116306168
XP_020900983.1	A0A913YL43	unreviewed	A0A913YL43_EXADI	Transposase		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	565						
XP_022807804.1	A0A2B4RD53	unreviewed	A0A2B4RD53_STYPI	Uncharacterized protein K02A2.6	K02A2.6 AWC38_SpisGene21433	Stylophora pistillata (Smooth cauliflower coral)	1097		DNA integration [GO:0015074]	GO:0003676; GO:0003964; GO:0004519; GO:0015074	endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]	endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]; DNA integration [GO:0015074]	K02A2.6
XP_027046259.1	A0A3M6TS61	unreviewed	A0A3M6TS61_POCDA	Dynein regulatory complex subunit 4 (Growth arrest-specific protein 8)	pdam_00002514	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	485	Golgi apparatus [GO:0005794]; microtubule [GO:0005874]; motile cilium [GO:0031514]	cell motility [GO:0048870]	GO:0005794; GO:0005874; GO:0008017; GO:0031267; GO:0031514; GO:0048870	microtubule binding [GO:0008017]; small GTPase binding [GO:0031267]	Golgi apparatus [GO:0005794]; microtubule [GO:0005874]; motile cilium [GO:0031514]; microtubule binding [GO:0008017]; small GTPase binding [GO:0031267]; cell motility [GO:0048870]	
XP_022787803.1	A0A2B4SBR9	unreviewed	A0A2B4SBR9_STYPI	DNA topoisomerase I (EC 5.6.2.1) (DNA topoisomerase 1)	TOP1 AWC38_SpisGene7977	Stylophora pistillata (Smooth cauliflower coral)	891	chromosome [GO:0005694]; nucleolus [GO:0005730]	chromosome segregation [GO:0007059]; DNA replication [GO:0006260]; DNA topological change [GO:0006265]	GO:0003677; GO:0003917; GO:0005694; GO:0005730; GO:0006260; GO:0006265; GO:0007059	DNA binding [GO:0003677]; DNA topoisomerase type I (single strand cut, ATP-independent) activity [GO:0003917]	chromosome [GO:0005694]; nucleolus [GO:0005730]; DNA binding [GO:0003677]; DNA topoisomerase type I (single strand cut, ATP-independent) activity [GO:0003917]; chromosome segregation [GO:0007059]; DNA replication [GO:0006260]; DNA topological change [GO:0006265]	TOP1
XP_031549911.1	A0A6P8H386	unreviewed	A0A6P8H386_ACTTE	Uncharacterized protein LOC116287377	LOC116287377	Actinia tenebrosa (Australian red waratah sea anemone)	119						LOC116287377
XP_028518762.1	A0A913YW70	unreviewed	A0A913YW70_EXADI	Transposase domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	954						
XP_031561109.1	A0A6P8HXK5	unreviewed	A0A6P8HXK5_ACTTE	Uncharacterized protein LOC116297091	LOC116297091	Actinia tenebrosa (Australian red waratah sea anemone)	253			GO:0003676; GO:0004523	nucleic acid binding [GO:0003676]; RNA-DNA hybrid ribonuclease activity [GO:0004523]	nucleic acid binding [GO:0003676]; RNA-DNA hybrid ribonuclease activity [GO:0004523]	LOC116297091
XP_031557897.1	A0A6P8HZ68	unreviewed	A0A6P8HZ68_ACTTE	Uncharacterized protein LOC116294443	LOC116294443	Actinia tenebrosa (Australian red waratah sea anemone)	388			GO:0008270	zinc ion binding [GO:0008270]	zinc ion binding [GO:0008270]	LOC116294443
XP_027046293.1	A0A3M6TSC8	unreviewed	A0A3M6TSC8_POCDA	Uncharacterized protein	pdam_00002471	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	272						
XP_028518046.1	A0A913YVI0	unreviewed	A0A913YVI0_EXADI	Integrase catalytic domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	386						
XP_027052460.1	A0A3M6TCD3	unreviewed	A0A3M6TCD3_POCDA	Large ribosomal subunit protein uL14 (60S ribosomal protein L23)	pdam_00008183	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	140	cytosolic large ribosomal subunit [GO:0022625]	translation [GO:0006412]	GO:0003735; GO:0006412; GO:0022625; GO:0070180	large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]	cytosolic large ribosomal subunit [GO:0022625]; large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	
XP_027060482.1	A0A3M6V3H3	unreviewed	A0A3M6V3H3_POCDA	Acetylserotonin O-methyltransferase (EC 2.1.1.4) (Hydroxyindole O-methyltransferase)	pdam_00021543	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	380		biosynthetic process [GO:0009058]; methylation [GO:0032259]	GO:0008171; GO:0009058; GO:0032259; GO:0046983	O-methyltransferase activity [GO:0008171]; protein dimerization activity [GO:0046983]	O-methyltransferase activity [GO:0008171]; protein dimerization activity [GO:0046983]; biosynthetic process [GO:0009058]; methylation [GO:0032259]	
XP_031559708.1	A0A6P8HWF6	unreviewed	A0A6P8HWF6_ACTTE	Uncharacterized protein LOC116295886	LOC116295886	Actinia tenebrosa (Australian red waratah sea anemone)	526	extracellular matrix [GO:0031012]		GO:0003824; GO:0031012	catalytic activity [GO:0003824]	extracellular matrix [GO:0031012]; catalytic activity [GO:0003824]	LOC116295886
XP_031573942.1	A0A6P8J2U4	unreviewed	A0A6P8J2U4_ACTTE	WD repeat-containing protein 48-like	LOC116307778	Actinia tenebrosa (Australian red waratah sea anemone)	102						LOC116307778
XP_027043402.1	A0A3M6TYG4	unreviewed	A0A3M6TYG4_POCDA	Tubulin alpha chain	pdam_00000622	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	451	microtubule [GO:0005874]	microtubule-based process [GO:0007017]	GO:0005200; GO:0005525; GO:0005874; GO:0007017; GO:0016787	GTP binding [GO:0005525]; hydrolase activity [GO:0016787]; structural constituent of cytoskeleton [GO:0005200]	microtubule [GO:0005874]; GTP binding [GO:0005525]; hydrolase activity [GO:0016787]; structural constituent of cytoskeleton [GO:0005200]; microtubule-based process [GO:0007017]	
XP_027044171.1	A0A3M6TWX0	unreviewed	A0A3M6TWX0_POCDA	Uncharacterized protein	pdam_00024360	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	522						
XP_022082929.1	A0A8B7XQ27	unreviewed	A0A8B7XQ27_ACAPL	Uncharacterized protein LOC110975093	LOC110975093	Acanthaster planci (Crown-of-thorns starfish)	550		DNA integration [GO:0015074]	GO:0003676; GO:0015074	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	LOC110975093
XP_020911529.1	A0A913XXQ0	unreviewed	A0A913XXQ0_EXADI	Endonuclease		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	1176		DNA integration [GO:0015074]	GO:0003676; GO:0015074	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	
XP_022791783.1	A0A2B4S767	unreviewed	A0A2B4S767_STYPI	Integrase catalytic domain-containing protein	AWC38_SpisGene10489	Stylophora pistillata (Smooth cauliflower coral)	511		DNA integration [GO:0015074]	GO:0003676; GO:0015074	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	
XP_020911499.1	A0A913XWP8	unreviewed	A0A913XWP8_EXADI	Peptidase aspartic putative domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	332						
XP_011407050.1	A0AAN0IQ71	unreviewed	A0AAN0IQ71_AMPQE	Uncharacterized protein		Amphimedon queenslandica (Sponge)	450						
XP_022779498.1	A0A2B4SNI6	unreviewed	A0A2B4SNI6_STYPI	Tubulin beta chain	AWC38_SpisGene2884	Stylophora pistillata (Smooth cauliflower coral)	446	microtubule [GO:0005874]	microtubule-based process [GO:0007017]	GO:0003924; GO:0005200; GO:0005525; GO:0005874; GO:0007017	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]	microtubule [GO:0005874]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]; microtubule-based process [GO:0007017]	
XP_022788961.1	A0A2B4R924	unreviewed	A0A2B4R924_STYPI	Putative enzymatic polyprotein	AWC38_SpisGene20977	Stylophora pistillata (Smooth cauliflower coral)	1091			GO:0003677; GO:0008270	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]	
XP_022788961.1	A0A2B4RF73	unreviewed	A0A2B4RF73_STYPI	THAP domain-containing protein 11	THAP11 AWC38_SpisGene20658	Stylophora pistillata (Smooth cauliflower coral)	300			GO:0003677; GO:0008270	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]	THAP11
XP_022788961.1	A0A2B4S0U8	unreviewed	A0A2B4S0U8_STYPI	THAP domain-containing protein 11	THAP11 AWC38_SpisGene12794	Stylophora pistillata (Smooth cauliflower coral)	549			GO:0003677; GO:0008270	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]	THAP11
XP_028518702.1	A0A913YW05	unreviewed	A0A913YW05_EXADI	Core-binding (CB) domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	411		DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	DNA binding [GO:0003677]	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	
XP_022799773.1	A0A2B4RSM3	unreviewed	A0A2B4RSM3_STYPI	Uncharacterized protein K02A2.6	K02A2.6 AWC38_SpisGene15739	Stylophora pistillata (Smooth cauliflower coral)	572		DNA integration [GO:0015074]	GO:0003676; GO:0003964; GO:0004519; GO:0015074	endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]	endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]; DNA integration [GO:0015074]	K02A2.6
XP_031574959.1	A0A6P8J5J7	unreviewed	A0A6P8J5J7_ACTTE	Uncharacterized protein K02A2.6-like	LOC116308627	Actinia tenebrosa (Australian red waratah sea anemone)	471		DNA integration [GO:0015074]	GO:0003676; GO:0015074	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	LOC116308627
XP_020916334.1	A0A913Y9M2	unreviewed	A0A913Y9M2_EXADI	Serine protease (EC 3.4.21.-)		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	403		proteolysis [GO:0006508]	GO:0006508; GO:0008236	serine-type peptidase activity [GO:0008236]	serine-type peptidase activity [GO:0008236]; proteolysis [GO:0006508]	
XP_027058607.1	A0A3M6USI7	unreviewed	A0A3M6USI7_POCDA	NADP-dependent oxidoreductase domain-containing protein	pdam_00002423	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	294			GO:0004033	aldo-keto reductase (NADPH) activity [GO:0004033]	aldo-keto reductase (NADPH) activity [GO:0004033]	
XP_020899777.2	A0A913X7T2	unreviewed	A0A913X7T2_EXADI	Tesmin/TSO1-like CXC domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	1503						
XP_022790434.1	A0A2B4S8Q7	unreviewed	A0A2B4S8Q7_STYPI	Uncharacterized protein K02A2.6	K02A2.6 AWC38_SpisGene9607	Stylophora pistillata (Smooth cauliflower coral)	1066		DNA integration [GO:0015074]	GO:0003676; GO:0015074	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	K02A2.6
XP_020897393.1	A0A913X1E0	unreviewed	A0A913X1E0_EXADI	Uncharacterized protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	371						
XP_022785410.1	A0A2B4SFV2	unreviewed	A0A2B4SFV2_STYPI	Putative RNA-directed DNA polymerase from transposon X-element	AWC38_SpisGene6498	Stylophora pistillata (Smooth cauliflower coral)	792			GO:0003964	RNA-directed DNA polymerase activity [GO:0003964]	RNA-directed DNA polymerase activity [GO:0003964]	
XP_028516726.1	A0A913YRG5	unreviewed	A0A913YRG5_EXADI	Uncharacterized protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	560						
XP_022795008.1	A0A2B4S0G6	unreviewed	A0A2B4S0G6_STYPI	DUF5641 domain-containing protein	AWC38_SpisGene12571	Stylophora pistillata (Smooth cauliflower coral)	1277		DNA metabolic process [GO:0006259]	GO:0003676; GO:0006259	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA metabolic process [GO:0006259]	
XP_022784123.1	A0A2B4SKB5	unreviewed	A0A2B4SKB5_STYPI	Uncharacterized protein	AWC38_SpisGene5746	Stylophora pistillata (Smooth cauliflower coral)	733						
XP_022807200.1	A0A2B4RCK3	unreviewed	A0A2B4RCK3_STYPI	ATPase inhibitor, mitochondrial	ATPIF1 AWC38_SpisGene20924	Stylophora pistillata (Smooth cauliflower coral)	117	mitochondrion [GO:0005739]		GO:0005739; GO:0042030	ATPase inhibitor activity [GO:0042030]	mitochondrion [GO:0005739]; ATPase inhibitor activity [GO:0042030]	ATPIF1
XP_027046825.1	A0A3M6TQN5	unreviewed	A0A3M6TQN5_POCDA	Uncharacterized protein	pdam_00006404	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	181						
XP_022796428.1	A0A2B4S026	unreviewed	A0A2B4S026_STYPI	RNA-directed DNA polymerase from mobile element jockey	AWC38_SpisGene13569	Stylophora pistillata (Smooth cauliflower coral)	496						
XP_020910817.1	A0A913XW99	unreviewed	A0A913XW99_EXADI	Uncharacterized protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	405						
XP_022783312.1	A0A2B4SNV4	unreviewed	A0A2B4SNV4_STYPI	RNA helicase (EC 3.6.4.13)	ddx4 AWC38_SpisGene5133	Stylophora pistillata (Smooth cauliflower coral)	721			GO:0003676; GO:0003724; GO:0005524; GO:0008270; GO:0016787	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724]; zinc ion binding [GO:0008270]	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724]; zinc ion binding [GO:0008270]	ddx4
XP_038077350.1	A0A914BN28	unreviewed	A0A914BN28_PATMI	Reverse transcriptase domain-containing protein		Patiria miniata (Bat star) (Asterina miniata)	175						
XP_031558423.1	A0A6P8HT70	unreviewed	A0A6P8HT70_ACTTE	Uncharacterized protein LOC116294878	LOC116294878	Actinia tenebrosa (Australian red waratah sea anemone)	286		DNA integration [GO:0015074]	GO:0003676; GO:0015074	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	LOC116294878
XP_022807068.1	A0A2B4ST35	unreviewed	A0A2B4ST35_STYPI	Arrestin domain-containing protein 3	ARRDC3 AWC38_SpisGene2075	Stylophora pistillata (Smooth cauliflower coral)	377	cytoplasm [GO:0005737]	protein transport [GO:0015031]	GO:0005737; GO:0015031		cytoplasm [GO:0005737]; protein transport [GO:0015031]	ARRDC3
XP_027055280.1	A0A3M6T5I0	unreviewed	A0A3M6T5I0_POCDA	RNA-binding protein 8A	pdam_00015009	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	168	cytoplasm [GO:0005737]; nuclear speck [GO:0016607]	mRNA processing [GO:0006397]; mRNA transport [GO:0051028]; RNA splicing [GO:0008380]	GO:0003729; GO:0005737; GO:0006397; GO:0008380; GO:0016607; GO:0051028	mRNA binding [GO:0003729]	cytoplasm [GO:0005737]; nuclear speck [GO:0016607]; mRNA binding [GO:0003729]; mRNA processing [GO:0006397]; mRNA transport [GO:0051028]; RNA splicing [GO:0008380]	
XP_027044937.1	A0A3M6TV33	unreviewed	A0A3M6TV33_POCDA	Rhamnogalacturonase A/B/Epimerase-like pectate lyase domain-containing protein	pdam_00024994	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	495						
XP_022778807.1	A0A2B4SPR3	unreviewed	A0A2B4SPR3_STYPI	Cleavage and polyadenylation specificity factor subunit 6	Cpsf7 AWC38_SpisGene2466	Stylophora pistillata (Smooth cauliflower coral)	514	nucleus [GO:0005634]	mRNA processing [GO:0006397]	GO:0003723; GO:0005634; GO:0006397	RNA binding [GO:0003723]	nucleus [GO:0005634]; RNA binding [GO:0003723]; mRNA processing [GO:0006397]	Cpsf7
XP_027052944.1	A0A3M6TAX7	unreviewed	A0A3M6TAX7_POCDA	Tubulin alpha chain	pdam_00010236	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	893	microtubule [GO:0005874]	microtubule-based process [GO:0007017]	GO:0005200; GO:0005525; GO:0005874; GO:0007017; GO:0016787	GTP binding [GO:0005525]; hydrolase activity [GO:0016787]; structural constituent of cytoskeleton [GO:0005200]	microtubule [GO:0005874]; GTP binding [GO:0005525]; hydrolase activity [GO:0016787]; structural constituent of cytoskeleton [GO:0005200]; microtubule-based process [GO:0007017]	
XP_022806614.1	A0A2B4RER9	unreviewed	A0A2B4RER9_STYPI	Transposon Tf2-9 polyprotein	Tf2-9 AWC38_SpisGene20473	Stylophora pistillata (Smooth cauliflower coral)	1208		DNA integration [GO:0015074]	GO:0003676; GO:0003964; GO:0004519; GO:0015074	endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]	endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]; DNA integration [GO:0015074]	Tf2-9
XP_022777960.1	A0A2B4R544	unreviewed	A0A2B4R544_STYPI	Uncharacterized protein K02A2.6	K02A2.6 AWC38_SpisGene24573	Stylophora pistillata (Smooth cauliflower coral)	530		DNA integration [GO:0015074]	GO:0003676; GO:0015074	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	K02A2.6
XP_022791289.1	A0A2B4S3G0	unreviewed	A0A2B4S3G0_STYPI	SCAN domain-containing protein 3	SCAND3 AWC38_SpisGene10162	Stylophora pistillata (Smooth cauliflower coral)	693		DNA integration [GO:0015074]	GO:0003676; GO:0015074	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	SCAND3
XP_031560695.1	A0A6P8I7M8	unreviewed	A0A6P8I7M8_ACTTE	Phospholipid-transporting ATPase (EC 7.6.2.1)	LOC116296764	Actinia tenebrosa (Australian red waratah sea anemone)	1252	plasma membrane [GO:0005886]	phospholipid translocation [GO:0045332]	GO:0000287; GO:0005524; GO:0005886; GO:0016887; GO:0045332; GO:0140326	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled intramembrane lipid transporter activity [GO:0140326]; magnesium ion binding [GO:0000287]	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled intramembrane lipid transporter activity [GO:0140326]; magnesium ion binding [GO:0000287]; phospholipid translocation [GO:0045332]	LOC116296764
