"orthoID","mcap_gene","pacu_gene","pcom_gene"
"ortho33","Montipora_capitata_HIv3___TS.g5461.t1","Pocillopora_acuta_HIv2___RNAseq.g29198.t1c","Porites_compressa_HIv1___RNAseq.29107_t"
"ortho34","Montipora_capitata_HIv3___RNAseq.g30618.t1","Pocillopora_acuta_HIv2___RNAseq.g30543.t1b","Porites_compressa_HIv1___RNAseq.g28614.t1"
"ortho35","Montipora_capitata_HIv3___RNAseq.g43837.t1","Pocillopora_acuta_HIv2___TS.g16903.t3","Porites_compressa_HIv1___RNAseq.g26594.t1"
"ortho36","Montipora_capitata_HIv3___TS.g46407.t2","Pocillopora_acuta_HIv2___TS.g4229.t1","Porites_compressa_HIv1___TS.g39307.t1"
"ortho37","Montipora_capitata_HIv3___RNAseq.g41643.t1","Pocillopora_acuta_HIv2___RNAseq.g13114.t1","Porites_compressa_HIv1___RNAseq.25265_t"
"ortho38","Montipora_capitata_HIv3___RNAseq.g42704.t1","Pocillopora_acuta_HIv2___RNAseq.g8148.t1","Porites_compressa_HIv1___RNAseq.g32923.t1"
"ortho39","Montipora_capitata_HIv3___RNAseq.g44251.t1","Pocillopora_acuta_HIv2___RNAseq.g24031.t1","Porites_compressa_HIv1___RNAseq.g26393.t1"
"ortho40","Montipora_capitata_HIv3___RNAseq.g20520.t1","Pocillopora_acuta_HIv2___RNAseq.g11354.t1","Porites_compressa_HIv1___RNAseq.g14931.t1"
"ortho41","Montipora_capitata_HIv3___RNAseq.g42320.t1","Pocillopora_acuta_HIv2___RNAseq.g8794.t1","Porites_compressa_HIv1___RNAseq.g22702.t1"
"ortho42","Montipora_capitata_HIv3___RNAseq.g35034.t2","Pocillopora_acuta_HIv2___RNAseq.g22691.t1","Porites_compressa_HIv1___RNAseq.g16659.t3"
"ortho43","Montipora_capitata_HIv3___RNAseq.g12857.t1","Pocillopora_acuta_HIv2___RNAseq.g24687.t1","Porites_compressa_HIv1___RNAseq.g23528.t1"
"ortho44","Montipora_capitata_HIv3___RNAseq.g16055.t1","Pocillopora_acuta_HIv2___RNAseq.g4534.t1","Porites_compressa_HIv1___RNAseq.g41692.t1"
"ortho45","Montipora_capitata_HIv3___TS.g35676.t1","Pocillopora_acuta_HIv2___RNAseq.g24118.t1","Porites_compressa_HIv1___TS.g37946.t1"
"ortho46","Montipora_capitata_HIv3___RNAseq.g9158.t1","Pocillopora_acuta_HIv2___RNAseq.g15848.t1","Porites_compressa_HIv1___RNAseq.g10659.t1"
"ortho47","Montipora_capitata_HIv3___RNAseq.g17815.t1","Pocillopora_acuta_HIv2___RNAseq.g31189.t1","Porites_compressa_HIv1___TS.g25407.t1"
"ortho48","Montipora_capitata_HIv3___TS.g3170.t3","Pocillopora_acuta_HIv2___RNAseq.g5681.t1","Porites_compressa_HIv1___TS.g3095.t1"
"ortho49","Montipora_capitata_HIv3___RNAseq.20343_t","Pocillopora_acuta_HIv2___RNAseq.g29507.t1","Porites_compressa_HIv1___TS.g32062.t1"
"ortho50","Montipora_capitata_HIv3___RNAseq.g5127.t1","Pocillopora_acuta_HIv2___TS.g26942.t1","Porites_compressa_HIv1___RNAseq.g12780.t1"
"ortho51","Montipora_capitata_HIv3___TS.g8656.t1","Pocillopora_acuta_HIv2___RNAseq.g28061.t1","Porites_compressa_HIv1___RNAseq.g37882.t1"
"ortho52","Montipora_capitata_HIv3___TS.g29760.t1","Pocillopora_acuta_HIv2___TS.g5717.t3","Porites_compressa_HIv1___RNAseq.g4355.t1"
"ortho53","Montipora_capitata_HIv3___TS.g50773.t3","Pocillopora_acuta_HIv2___RNAseq.g5811.t1","Porites_compressa_HIv1___RNAseq.g26410.t1"
"ortho54","Montipora_capitata_HIv3___RNAseq.g43216.t1","Pocillopora_acuta_HIv2___RNAseq.g8287.t1","Porites_compressa_HIv1___TS.g715.t1"
"ortho55","Montipora_capitata_HIv3___TS.g11190.t1","Pocillopora_acuta_HIv2___RNAseq.g4417.t1","Porites_compressa_HIv1___RNAseq.g23070.t1"
"ortho56","Montipora_capitata_HIv3___RNAseq.g5767.t1a","Pocillopora_acuta_HIv2___TS.g20332.t1c","Porites_compressa_HIv1___RNAseq.g8612.t1"
"ortho57","Montipora_capitata_HIv3___RNAseq.g15059.t1","Pocillopora_acuta_HIv2___RNAseq.g13968.t1","Porites_compressa_HIv1___RNAseq.g1498.t1"
"ortho58","Montipora_capitata_HIv3___RNAseq.g40366.t1","Pocillopora_acuta_HIv2___RNAseq.g6325.t1","Porites_compressa_HIv1___RNAseq.g25010.t1"
"ortho59","Montipora_capitata_HIv3___RNAseq.g12081.t1","Pocillopora_acuta_HIv2___TS.g22484.t4","Porites_compressa_HIv1___RNAseq.g10465.t2"
"ortho60","Montipora_capitata_HIv3___TS.g21123.t1","Pocillopora_acuta_HIv2___RNAseq.g25305.t1","Porites_compressa_HIv1___RNAseq.g7754.t1"
"ortho61","Montipora_capitata_HIv3___RNAseq.g36524.t1","Pocillopora_acuta_HIv2___RNAseq.g23178.t1","Porites_compressa_HIv1___RNAseq.g12300.t1"
"ortho62","Montipora_capitata_HIv3___RNAseq.g23395.t1","Pocillopora_acuta_HIv2___RNAseq.g21827.t1b","Porites_compressa_HIv1___RNAseq.g14331.t1"
"ortho63","Montipora_capitata_HIv3___TS.g16904.t1","Pocillopora_acuta_HIv2___RNAseq.g18980.t1","Porites_compressa_HIv1___TS.g13810.t1"
"ortho64","Montipora_capitata_HIv3___RNAseq.g44828.t1","Pocillopora_acuta_HIv2___RNAseq.g3025.t1","Porites_compressa_HIv1___RNAseq.g31772.t1"
"ortho65","Montipora_capitata_HIv3___RNAseq.g46512.t1","Pocillopora_acuta_HIv2___RNAseq.g5076.t1","Porites_compressa_HIv1___TS.g38110.t1"
"ortho66","Montipora_capitata_HIv3___RNAseq.g43986.t1a","Pocillopora_acuta_HIv2___RNAseq.g14579.t2","Porites_compressa_HIv1___RNAseq.g4603.t1"
"ortho67","Montipora_capitata_HIv3___RNAseq.g36347.t1","Pocillopora_acuta_HIv2___RNAseq.g770.t1","Porites_compressa_HIv1___RNAseq.g36756.t1"
"ortho68","Montipora_capitata_HIv3___RNAseq.g46513.t1","Pocillopora_acuta_HIv2___RNAseq.g5077.t1","Porites_compressa_HIv1___TS.g38114.t1"
"ortho69","Montipora_capitata_HIv3___RNAseq.g13110.t1","Pocillopora_acuta_HIv2___RNAseq.g25005.t1","Porites_compressa_HIv1___TS.g11905.t1"
"ortho70","Montipora_capitata_HIv3___RNAseq.g27146.t1","Pocillopora_acuta_HIv2___TS.g11597.t1","Porites_compressa_HIv1___RNAseq.g16014.t1"
"ortho71","Montipora_capitata_HIv3___RNAseq.g42637.t1","Pocillopora_acuta_HIv2___RNAseq.g12796.t1","Porites_compressa_HIv1___RNAseq.g22794.t1"
"ortho72","Montipora_capitata_HIv3___TS.g26565.t2","Pocillopora_acuta_HIv2___RNAseq.g7628.t1","Porites_compressa_HIv1___RNAseq.g20608.t1"
"ortho73","Montipora_capitata_HIv3___RNAseq.g9368.t1","Pocillopora_acuta_HIv2___RNAseq.g17222.t1","Porites_compressa_HIv1___RNAseq.g10780.t1"
"ortho74","Montipora_capitata_HIv3___TS.g11176.t1","Pocillopora_acuta_HIv2___RNAseq.g4436.t1","Porites_compressa_HIv1___RNAseq.g23093.t1"
"ortho75","Montipora_capitata_HIv3___RNAseq.g3446.t1","Pocillopora_acuta_HIv2___TS.g19752.t2","Porites_compressa_HIv1___RNAseq.g28865.t1"
"ortho76","Montipora_capitata_HIv3___TS.g41056.t1","Pocillopora_acuta_HIv2___RNAseq.g28751.t1","Porites_compressa_HIv1___RNAseq.g28966.t1"
"ortho77","Montipora_capitata_HIv3___TS.g7024.t2","Pocillopora_acuta_HIv2___RNAseq.g22606.t2","Porites_compressa_HIv1___RNAseq.23454_t"
"ortho78","Montipora_capitata_HIv3___RNAseq.g9374.t1","Pocillopora_acuta_HIv2___RNAseq.g17168.t1","Porites_compressa_HIv1___RNAseq.g10887.t1"
"ortho79","Montipora_capitata_HIv3___TS.g50915.t2","Pocillopora_acuta_HIv2___RNAseq.g12908.t1","Porites_compressa_HIv1___TS.g21748.t1"
"ortho80","Montipora_capitata_HIv3___RNAseq.g34335.t1","Pocillopora_acuta_HIv2___TS.g12332.t2b","Porites_compressa_HIv1___RNAseq.g32098.t1"
"ortho81","Montipora_capitata_HIv3___RNAseq.g18363.t1","Pocillopora_acuta_HIv2___RNAseq.g21516.t1","Porites_compressa_HIv1___TS.g29660.t1"
"ortho82","Montipora_capitata_HIv3___RNAseq.g545.t1a","Pocillopora_acuta_HIv2___TS.g25099.t2","Porites_compressa_HIv1___RNAseq.g24390.t1"
"ortho83","Montipora_capitata_HIv3___RNAseq.g23575.t1","Pocillopora_acuta_HIv2___RNAseq.g24135.t1","Porites_compressa_HIv1___RNAseq.g14737.t1"
"ortho84","Montipora_capitata_HIv3___RNAseq.g24862.t1a","Pocillopora_acuta_HIv2___RNAseq.g22507.t1","Porites_compressa_HIv1___RNAseq.g21937.t1"
"ortho85","Montipora_capitata_HIv3___TS.g21022.t1","Pocillopora_acuta_HIv2___RNAseq.g24636.t1","Porites_compressa_HIv1___RNAseq.g23473.t1"
"ortho86","Montipora_capitata_HIv3___RNAseq.g14098.t1","Pocillopora_acuta_HIv2___RNAseq.g13635.t1","Porites_compressa_HIv1___RNAseq.g38731.t1"
"ortho87","Montipora_capitata_HIv3___RNAseq.g39614.t2","Pocillopora_acuta_HIv2___RNAseq.g23631.t1","Porites_compressa_HIv1___RNAseq.g13989.t1"
"ortho88","Montipora_capitata_HIv3___RNAseq.g34960.t1","Pocillopora_acuta_HIv2___RNAseq.g29116.t1","Porites_compressa_HIv1___RNAseq.g15616.t1"
"ortho89","Montipora_capitata_HIv3___RNAseq.g3355.t1","Pocillopora_acuta_HIv2___RNAseq.g1255.t1","Porites_compressa_HIv1___RNAseq.g28721.t1"
"ortho90","Montipora_capitata_HIv3___RNAseq.g11403.t1","Pocillopora_acuta_HIv2___RNAseq.g16742.t1","Porites_compressa_HIv1___RNAseq.g10351.t1"
"ortho91","Montipora_capitata_HIv3___RNAseq.g20284.t1","Pocillopora_acuta_HIv2___RNAseq.g3915.t1","Porites_compressa_HIv1___TS.g16248.t1"
"ortho92","Montipora_capitata_HIv3___RNAseq.g11651.t1","Pocillopora_acuta_HIv2___RNAseq.g16936.t1","Porites_compressa_HIv1___RNAseq.g10145.t1"
"ortho93","Montipora_capitata_HIv3___TS.g26900.t1","Pocillopora_acuta_HIv2___RNAseq.g1901.t1","Porites_compressa_HIv1___TS.g37142.t1b"
"ortho94","Montipora_capitata_HIv3___TS.g6974.t1","Pocillopora_acuta_HIv2___RNAseq.g16398.t1","Porites_compressa_HIv1___TS.g36083.t1"
"ortho95","Montipora_capitata_HIv3___RNAseq.g39045.t1","Pocillopora_acuta_HIv2___RNAseq.g20432.t1","Porites_compressa_HIv1___RNAseq.g24749.t1"
"ortho96","Montipora_capitata_HIv3___RNAseq.g49024.t1","Pocillopora_acuta_HIv2___RNAseq.g25734.t1","Porites_compressa_HIv1___RNAseq.g33694.t1"
"ortho97","Montipora_capitata_HIv3___TS.g26690.t1","Pocillopora_acuta_HIv2___RNAseq.g1686.t1","Porites_compressa_HIv1___RNAseq.g18814.t1"
"ortho98","Montipora_capitata_HIv3___TS.g40150.t2","Pocillopora_acuta_HIv2___RNAseq.g315.t1a","Porites_compressa_HIv1___RNAseq.g15424.t1a"
"ortho99","Montipora_capitata_HIv3___RNAseq.g44084.t1","Pocillopora_acuta_HIv2___RNAseq.g6988.t1","Porites_compressa_HIv1___RNAseq.g26612.t1"
"ortho100","Montipora_capitata_HIv3___RNAseq.13691_t","Pocillopora_acuta_HIv2___RNAseq.g27793.t1","Porites_compressa_HIv1___RNAseq.g37841.t1"
"ortho101","Montipora_capitata_HIv3___RNAseq.g36944.t1","Pocillopora_acuta_HIv2___RNAseq.g16371.t1","Porites_compressa_HIv1___RNAseq.g8048.t1"
"ortho102","Montipora_capitata_HIv3___RNAseq.g15143.t1","Pocillopora_acuta_HIv2___TS.g12529.t1","Porites_compressa_HIv1___RNAseq.g1704.t1"
"ortho103","Montipora_capitata_HIv3___RNAseq.g3214.t1","Pocillopora_acuta_HIv2___RNAseq.g28870.t1","Porites_compressa_HIv1___RNAseq.g11208.t1"
"ortho104","Montipora_capitata_HIv3___RNAseq.g36894.t1","Pocillopora_acuta_HIv2___RNAseq.g16382.t1","Porites_compressa_HIv1___RNAseq.g19993.t1"
"ortho105","Montipora_capitata_HIv3___RNAseq.g22548.t1","Pocillopora_acuta_HIv2___RNAseq.g7185.t1","Porites_compressa_HIv1___RNAseq.g34113.t1"
"ortho106","Montipora_capitata_HIv3___TS.g4731.t1","Pocillopora_acuta_HIv2___RNAseq.g25778.t1","Porites_compressa_HIv1___RNAseq.g33756.t1"
"ortho107","Montipora_capitata_HIv3___TS.g28533.t1","Pocillopora_acuta_HIv2___RNAseq.g1872.t1","Porites_compressa_HIv1___RNAseq.g41102.t1"
"ortho108","Montipora_capitata_HIv3___RNAseq.g24854.t1","Pocillopora_acuta_HIv2___RNAseq.g22508.t1","Porites_compressa_HIv1___RNAseq.g21939.t1"
"ortho109","Montipora_capitata_HIv3___RNAseq.g27988.t1","Pocillopora_acuta_HIv2___RNAseq.g9222.t1","Porites_compressa_HIv1___RNAseq.g39699.t1"
"ortho110","Montipora_capitata_HIv3___RNAseq.g13378.t3","Pocillopora_acuta_HIv2___RNAseq.g31347.t1","Porites_compressa_HIv1___RNAseq.23221_t"
"ortho111","Montipora_capitata_HIv3___RNAseq.g27047.t1","Pocillopora_acuta_HIv2___RNAseq.g27665.t1","Porites_compressa_HIv1___RNAseq.g7262.t1"
"ortho112","Montipora_capitata_HIv3___RNAseq.g13351.t1","Pocillopora_acuta_HIv2___TS.g16172.t3","Porites_compressa_HIv1___TS.g2477.t1"
"ortho113","Montipora_capitata_HIv3___RNAseq.g19081.t1","Pocillopora_acuta_HIv2___TS.g11474.t1","Porites_compressa_HIv1___RNAseq.g21570.t1"
"ortho114","Montipora_capitata_HIv3___RNAseq.g45456.t1","Pocillopora_acuta_HIv2___TS.g4508.t5","Porites_compressa_HIv1___TS.g16762.t1"
"ortho115","Montipora_capitata_HIv3___RNAseq.g15588.t1","Pocillopora_acuta_HIv2___RNAseq.g29485.t1","Porites_compressa_HIv1___RNAseq.g28498.t1"
"ortho116","Montipora_capitata_HIv3___RNAseq.g37775.t1","Pocillopora_acuta_HIv2___RNAseq.g20507.t1","Porites_compressa_HIv1___RNAseq.g3892.t1"
"ortho117","Montipora_capitata_HIv3___RNAseq.g5496.t1","Pocillopora_acuta_HIv2___RNAseq.g1753.t1","Porites_compressa_HIv1___RNAseq.g895.t1"
"ortho118","Montipora_capitata_HIv3___RNAseq.g729.t1","Pocillopora_acuta_HIv2___TS.g9854.t2","Porites_compressa_HIv1___TS.g10117.t1"
"ortho119","Montipora_capitata_HIv3___RNAseq.g44747.t1","Pocillopora_acuta_HIv2___TS.g27615.t1","Porites_compressa_HIv1___RNAseq.g3427.t1"
"ortho120","Montipora_capitata_HIv3___RNAseq.g11728.t3","Pocillopora_acuta_HIv2___RNAseq.g16813.t1","Porites_compressa_HIv1___TS.g4365.t2"
"ortho121","Montipora_capitata_HIv3___RNAseq.g27105.t2","Pocillopora_acuta_HIv2___TS.g10551.t2","Porites_compressa_HIv1___TS.g21489.t1"
"ortho122","Montipora_capitata_HIv3___TS.g46405.t2","Pocillopora_acuta_HIv2___RNAseq.g592.t1","Porites_compressa_HIv1___RNAseq.g20725.t1"
"ortho123","Montipora_capitata_HIv3___TS.g28184.t1","Pocillopora_acuta_HIv2___RNAseq.g2058.t1","Porites_compressa_HIv1___RNAseq.g36863.t1"
"ortho124","Montipora_capitata_HIv3___RNAseq.g12691.t1","Pocillopora_acuta_HIv2___RNAseq.g25600.t1","Porites_compressa_HIv1___TS.g32124.t1"
"ortho125","Montipora_capitata_HIv3___RNAseq.g11219.t1","Pocillopora_acuta_HIv2___RNAseq.g16803.t1","Porites_compressa_HIv1___RNAseq.g9802.t1"
"ortho126","Montipora_capitata_HIv3___TS.g7205.t2","Pocillopora_acuta_HIv2___RNAseq.g22629.t1","Porites_compressa_HIv1___RNAseq.g8111.t1"
"ortho127","Montipora_capitata_HIv3___RNAseq.g2919.t1","Pocillopora_acuta_HIv2___RNAseq.g31047.t1","Porites_compressa_HIv1___RNAseq.g28378.t1"
"ortho128","Montipora_capitata_HIv3___TS.g3900.t1","Pocillopora_acuta_HIv2___RNAseq.g25993.t1","Porites_compressa_HIv1___RNAseq.g13474.t1"
"ortho129","Montipora_capitata_HIv3___RNAseq.g37176.t2","Pocillopora_acuta_HIv2___RNAseq.g26858.t1","Porites_compressa_HIv1___RNAseq.g29872.t1"
"ortho130","Montipora_capitata_HIv3___TS.g15358.t1b","Pocillopora_acuta_HIv2___TS.g5340.t3b","Porites_compressa_HIv1___RNAseq.g26815.t1"
"ortho131","Montipora_capitata_HIv3___RNAseq.g29587.t1","Pocillopora_acuta_HIv2___RNAseq.g19740.t1","Porites_compressa_HIv1___RNAseq.g7014.t1"
"ortho132","Montipora_capitata_HIv3___RNAseq.g18930.t1","Pocillopora_acuta_HIv2___RNAseq.g14156.t1","Porites_compressa_HIv1___RNAseq.g1820.t1"
"ortho133","Montipora_capitata_HIv3___RNAseq.g27865.t1","Pocillopora_acuta_HIv2___TS.g4835.t2","Porites_compressa_HIv1___RNAseq.g18664.t1"
"ortho134","Montipora_capitata_HIv3___TS.g7184.t1","Pocillopora_acuta_HIv2___RNAseq.g17619.t1","Porites_compressa_HIv1___RNAseq.g8146.t1"
"ortho135","Montipora_capitata_HIv3___RNAseq.g32576.t1","Pocillopora_acuta_HIv2___RNAseq.g19042.t1","Porites_compressa_HIv1___RNAseq.g7921.t1"
"ortho136","Montipora_capitata_HIv3___RNAseq.g15015.t1","Pocillopora_acuta_HIv2___RNAseq.g13823.t1","Porites_compressa_HIv1___RNAseq.g1423.t1b"
"ortho137","Montipora_capitata_HIv3___TS.g20717.t1","Pocillopora_acuta_HIv2___RNAseq.g24904.t1","Porites_compressa_HIv1___RNAseq.g7702.t1"
"ortho138","Montipora_capitata_HIv3___TS.g31475.t1","Pocillopora_acuta_HIv2___RNAseq.g27065.t1","Porites_compressa_HIv1___RNAseq.g9589.t1"
"ortho139","Montipora_capitata_HIv3___RNAseq.g36872.t1","Pocillopora_acuta_HIv2___TS.g2580.t1","Porites_compressa_HIv1___RNAseq.g2922.t1"
"ortho140","Montipora_capitata_HIv3___RNAseq.g44457.t1","Pocillopora_acuta_HIv2___RNAseq.g9547.t1","Porites_compressa_HIv1___RNAseq.g31493.t1"
"ortho141","Montipora_capitata_HIv3___RNAseq.g20008.t1e","Pocillopora_acuta_HIv2___TS.g12926.t1a","Porites_compressa_HIv1___RNAseq.g23633.t1"
"ortho142","Montipora_capitata_HIv3___RNAseq.g20137.t1","Pocillopora_acuta_HIv2___RNAseq.g28362.t1","Porites_compressa_HIv1___TS.g9279.t1"
"ortho143","Montipora_capitata_HIv3___RNAseq.g27135.t1","Pocillopora_acuta_HIv2___RNAseq.g29797.t1","Porites_compressa_HIv1___RNAseq.g16004.t1"
"ortho144","Montipora_capitata_HIv3___RNAseq.g39699.t1","Pocillopora_acuta_HIv2___RNAseq.9444_t","Porites_compressa_HIv1___RNAseq.g24839.t1"
"ortho145","Montipora_capitata_HIv3___RNAseq.g47111.t1","Pocillopora_acuta_HIv2___RNAseq.g5379.t1","Porites_compressa_HIv1___RNAseq.g3827.t1"
"ortho146","Montipora_capitata_HIv3___RNAseq.g18357.t1","Pocillopora_acuta_HIv2___RNAseq.g21519.t1","Porites_compressa_HIv1___RNAseq.g30544.t1"
"ortho147","Montipora_capitata_HIv3___TS.g5545.t1","Pocillopora_acuta_HIv2___TS.g24492.t1","Porites_compressa_HIv1___RNAseq.g17108.t1"
"ortho148","Montipora_capitata_HIv3___RNAseq.g37458.t1","Pocillopora_acuta_HIv2___RNAseq.12690_t","Porites_compressa_HIv1___TS.g7829.t1"
"ortho149","Montipora_capitata_HIv3___RNAseq.g3166.t1","Pocillopora_acuta_HIv2___TS.g11147.t1","Porites_compressa_HIv1___RNAseq.g11165.t1"
"ortho150","Montipora_capitata_HIv3___RNAseq.g9335.t1","Pocillopora_acuta_HIv2___TS.g17647.t1","Porites_compressa_HIv1___TS.g5441.t1"
"ortho151","Montipora_capitata_HIv3___TS.g43012.t1","Pocillopora_acuta_HIv2___RNAseq.g446.t1","Porites_compressa_HIv1___RNAseq.g10237.t2"
"ortho152","Montipora_capitata_HIv3___TS.g38085.t1","Pocillopora_acuta_HIv2___RNAseq.g26304.t1","Porites_compressa_HIv1___RNAseq.g27551.t2"
"ortho153","Montipora_capitata_HIv3___RNAseq.g7495.t1","Pocillopora_acuta_HIv2___RNAseq.g8496.t1","Porites_compressa_HIv1___RNAseq.g20122.t1"
"ortho154","Montipora_capitata_HIv3___RNAseq.g24942.t1","Pocillopora_acuta_HIv2___RNAseq.g22516.t1","Porites_compressa_HIv1___RNAseq.g15730.t1"
"ortho155","Montipora_capitata_HIv3___RNAseq.g19360.t1","Pocillopora_acuta_HIv2___RNAseq.g28451.t1","Porites_compressa_HIv1___RNAseq.g21344.t1"
"ortho156","Montipora_capitata_HIv3___RNAseq.g46216.t1","Pocillopora_acuta_HIv2___RNAseq.g4962.t1","Porites_compressa_HIv1___TS.g9653.t1"
"ortho157","Montipora_capitata_HIv3___RNAseq.g34375.t1","Pocillopora_acuta_HIv2___RNAseq.g18579.t2b","Porites_compressa_HIv1___RNAseq.g32113.t1"
"ortho158","Montipora_capitata_HIv3___RNAseq.g21295.t1","Pocillopora_acuta_HIv2___RNAseq.g10751.t1","Porites_compressa_HIv1___RNAseq.g40045.t3"
"ortho159","Montipora_capitata_HIv3___RNAseq.g5408.t1","Pocillopora_acuta_HIv2___RNAseq.g7501.t2","Porites_compressa_HIv1___RNAseq.g991.t1"
