gene_id	length
MSTRG.10107	369
MSTRG.10108	2346
MSTRG.10109	444
MSTRG.1011	234
MSTRG.10110	528
MSTRG.10111	3258
MSTRG.10112	1521
MSTRG.10113	1452
MSTRG.10114	1365
MSTRG.10115	372
MSTRG.10116	267
MSTRG.10117	252
MSTRG.10118	978
MSTRG.10119	1077
MSTRG.1012	801
MSTRG.10120	1146
MSTRG.10121	975
MSTRG.10122	1065
MSTRG.10123	420
MSTRG.10124	1860
MSTRG.10125	666
MSTRG.10126	1857
MSTRG.10127	408
MSTRG.10128	795
MSTRG.10129	1740
MSTRG.1013	207
MSTRG.10130	1305
MSTRG.10131	1314
MSTRG.10132	66
MSTRG.10133	771
MSTRG.10134	1953
MSTRG.10135	1755
MSTRG.10136	300
MSTRG.10137	2619
MSTRG.10138	309
MSTRG.10139	405
MSTRG.1014	621
MSTRG.10140	2169
MSTRG.10141	1527
MSTRG.10142	1722
MSTRG.10143	4476
MSTRG.10144	2694
MSTRG.10145	1377
MSTRG.10146	201
MSTRG.10147	1002
MSTRG.10148	564
MSTRG.10149	3264
MSTRG.1015	261
MSTRG.10150	945
MSTRG.10151	729
MSTRG.10152	2328
MSTRG.10153	15177
MSTRG.10154	4731
MSTRG.10155	3039
MSTRG.10156	5814
MSTRG.10157	468
MSTRG.10158	2097
MSTRG.10159	753
MSTRG.1016	1071
MSTRG.10160	1101
MSTRG.10161	483
MSTRG.10162	576
MSTRG.10163	570
MSTRG.10164	486
MSTRG.10165	276
MSTRG.10166	4920
MSTRG.10167	531
MSTRG.10168	1905
MSTRG.10169	1578
MSTRG.1017	1479
MSTRG.10170	723
MSTRG.10171	1677
MSTRG.10172	2958
MSTRG.10173	1377
MSTRG.10174	744
MSTRG.10175	1140
MSTRG.10176	798
MSTRG.10177	1272
MSTRG.10178	1830
MSTRG.10179	1593
MSTRG.1018	357
MSTRG.10180	999
MSTRG.10181	978
MSTRG.10182	393
MSTRG.10183	1155
MSTRG.10184	1359
MSTRG.10185	1164
MSTRG.10186	1152
MSTRG.10187	912
MSTRG.10188	1374
MSTRG.10189	255
MSTRG.1019	849
MSTRG.10190	1623
MSTRG.10191	342
MSTRG.10192	1344
MSTRG.10193	609
MSTRG.10194	1326
MSTRG.10195	1149
MSTRG.10196	450
MSTRG.10197	2571
MSTRG.10198	591
MSTRG.10199	447
MSTRG.102	1017
MSTRG.1020	387
MSTRG.10200	1047
MSTRG.10201	336
MSTRG.10202	624
MSTRG.10203	291
MSTRG.10204	447
MSTRG.10205	711
MSTRG.10206	675
MSTRG.10207	2916
MSTRG.10208	498
MSTRG.10209	1374
MSTRG.1021	717
MSTRG.10210	654
MSTRG.10211	822
MSTRG.10212	1542
MSTRG.10213	660
MSTRG.10214	561
MSTRG.10215	600
MSTRG.10216	300
MSTRG.10217	321
MSTRG.10218	486
MSTRG.10219	696
MSTRG.1022	603
MSTRG.10220	228
MSTRG.10221	321
MSTRG.10222	2439
MSTRG.10223	1236
MSTRG.10224	426
MSTRG.10225	1101
MSTRG.10226	3462
MSTRG.10227	378
MSTRG.10228	1104
MSTRG.10229	378
MSTRG.1023	948
MSTRG.10230	966
MSTRG.10231	303
MSTRG.10232	426
MSTRG.10233	972
MSTRG.10234	2511
MSTRG.10235	849
MSTRG.10236	732
MSTRG.10237	729
MSTRG.10238	1989
MSTRG.10239	2664
MSTRG.1024	210
MSTRG.10240	1953
MSTRG.10241	546
MSTRG.10242	5265
MSTRG.10243	243
MSTRG.10244	1059
MSTRG.10245	2070
MSTRG.10246	1692
MSTRG.10247	537
MSTRG.10248	714
MSTRG.10249	1176
MSTRG.1025	576
MSTRG.10250	1470
MSTRG.10251	4575
MSTRG.10252	1317
MSTRG.10253	702
MSTRG.10254	351
MSTRG.10255	8157
MSTRG.10256	630
MSTRG.10257	2268
MSTRG.10258	1926
MSTRG.10259	1122
MSTRG.1026	498
MSTRG.10260	2919
MSTRG.10261	2847
MSTRG.10262	4947
MSTRG.10263	2808
MSTRG.10264	747
MSTRG.10265	1335
MSTRG.10266	1224
MSTRG.10267	1221
MSTRG.10268	3396
MSTRG.10269	1215
MSTRG.1027	900
MSTRG.10270	2574
MSTRG.10271	1542
MSTRG.10272	486
MSTRG.10273	4959
MSTRG.10274	333
MSTRG.10275	1803
MSTRG.10276	2328
MSTRG.10277	1236
MSTRG.10278	1875
MSTRG.10279	3888
MSTRG.1028	2832
MSTRG.10280	321
MSTRG.10281	372
MSTRG.10282	2112
MSTRG.10283	3363
MSTRG.10284	1491
MSTRG.10285	342
MSTRG.10286	1152
MSTRG.10287	1227
MSTRG.10288	2631
MSTRG.10289	2319
MSTRG.1029	1014
MSTRG.10290	705
MSTRG.10291	309
MSTRG.10292	2337
MSTRG.10293	507
MSTRG.10294	1122
MSTRG.10295	630
MSTRG.10296	1134
MSTRG.10297	1053
MSTRG.10298	786
MSTRG.10299	4920
MSTRG.103	552
MSTRG.1030	8259
MSTRG.10300	405
MSTRG.10301	2487
MSTRG.10302	816
MSTRG.10303	2538
MSTRG.10304	1620
MSTRG.10305	996
MSTRG.10306	708
MSTRG.10307	2496
MSTRG.10308	2448
MSTRG.10309	2499
MSTRG.1031	1406
MSTRG.10310	2649
MSTRG.10311	3150
MSTRG.10312	2529
MSTRG.10313	1200
MSTRG.10314	315
MSTRG.10315	1779
MSTRG.10316	1488
MSTRG.10317	2586
MSTRG.10318	1128
MSTRG.10319	1008
MSTRG.1032	1002
MSTRG.10320	3141
MSTRG.10321	1062
MSTRG.10322	1587
MSTRG.10323	3834
MSTRG.10324	5664
MSTRG.10325	3798
MSTRG.10326	795
MSTRG.10327	3210
MSTRG.10328	897
MSTRG.10329	1680
MSTRG.1033	1053
MSTRG.10330	2259
MSTRG.10331	480
MSTRG.10332	465
MSTRG.10333	771
MSTRG.10334	786
MSTRG.10335	1431
MSTRG.10336	1047
MSTRG.10337	2763
MSTRG.10338	1695
MSTRG.10339	243
MSTRG.1034	3453
MSTRG.10340	606
MSTRG.10341	447
MSTRG.10342	8292
MSTRG.10343	1068
MSTRG.10344	1893
MSTRG.10345	501
MSTRG.10346	489
MSTRG.10347	2589
MSTRG.10348	2823
MSTRG.10349	2874
MSTRG.1035	2196
MSTRG.10350	1155
MSTRG.10351	1236
MSTRG.10352	501
MSTRG.10353	1236
MSTRG.10354	1284
MSTRG.10355	1236
MSTRG.10356	501
MSTRG.10357	852
MSTRG.10358	1281
MSTRG.10359	597
MSTRG.1036	2214
MSTRG.10360	516
MSTRG.10361	534
MSTRG.10362	327
MSTRG.10363	1494
MSTRG.10364	2298
MSTRG.10365	1455
MSTRG.10366	2892
MSTRG.10367	1611
MSTRG.10368	510
MSTRG.10369	2529
MSTRG.1037	2250
MSTRG.10370	549
MSTRG.10371	672
MSTRG.10372	1545
MSTRG.10373	1488
MSTRG.10374	993
MSTRG.10375	642
MSTRG.10376	693
MSTRG.10377	900
MSTRG.10378	1233
MSTRG.10379	3063
MSTRG.1038	1317
MSTRG.10380	843
MSTRG.10381	546
MSTRG.10382	2382
MSTRG.10383	2643
MSTRG.10384	4716
MSTRG.10385	933
MSTRG.10386	1590
MSTRG.10387	1485
MSTRG.10388	1308
MSTRG.10389	1389
MSTRG.1039	894
MSTRG.10390	312
MSTRG.10391	1299
MSTRG.10392	5124
MSTRG.10393	786
MSTRG.10394	1464
MSTRG.10395	558
MSTRG.10396	1284
MSTRG.10397	1578
MSTRG.10398	2643
MSTRG.10399	2652
MSTRG.104	2154
MSTRG.1040	735
MSTRG.10400	231
MSTRG.10401	702
MSTRG.10402	1635
MSTRG.10403	1092
MSTRG.10404	912
MSTRG.10405	1272
MSTRG.10406	3213
MSTRG.10407	1257
MSTRG.10408	744
MSTRG.10409	1491
MSTRG.1041	672
MSTRG.10410	1083
MSTRG.10411	1344
MSTRG.10412	1710
MSTRG.10413	1278
MSTRG.10414	2856
MSTRG.10415	477
MSTRG.10416	2145
MSTRG.10417	348
MSTRG.10418	2133
MSTRG.10419	759
MSTRG.1042	678
MSTRG.10420	1491
MSTRG.10421	3591
MSTRG.10422	4041
MSTRG.10423	966
MSTRG.10424	975
MSTRG.10425	2799
MSTRG.10426	2511
MSTRG.10427	1353
MSTRG.10428	1041
MSTRG.10429	213
MSTRG.1043	2937
MSTRG.10430	417
MSTRG.10431	657
MSTRG.10432	450
MSTRG.10433	1653
MSTRG.10434	1539
MSTRG.10435	291
MSTRG.10436	969
MSTRG.10437	462
MSTRG.10438	1404
MSTRG.10439	729
MSTRG.1044	1410
MSTRG.10440	600
MSTRG.10441	783
MSTRG.10442	1167
MSTRG.10443	591
MSTRG.10444	975
MSTRG.10445	588
MSTRG.10446	2037
MSTRG.10447	1524
MSTRG.10448	915
MSTRG.10449	1908
MSTRG.1045	2214
MSTRG.10450	384
MSTRG.10451	1125
MSTRG.10452	384
MSTRG.10453	447
MSTRG.10454	1845
MSTRG.10455	1848
MSTRG.10456	735
MSTRG.10457	891
MSTRG.10458	750
MSTRG.10459	918
MSTRG.1046	762
MSTRG.10460	1680
MSTRG.10461	798
MSTRG.10462	792
MSTRG.10463	435
MSTRG.10464	669
MSTRG.10465	789
MSTRG.10466	855
MSTRG.10467	900
MSTRG.10468	1791
MSTRG.10469	717
MSTRG.1047	1410
MSTRG.10470	1338
MSTRG.10471	2301
MSTRG.10472	285
MSTRG.10473	2073
MSTRG.10474	1596
MSTRG.10475	1572
MSTRG.10476	2814
MSTRG.10477	951
MSTRG.10478	423
MSTRG.10479	1914
MSTRG.1048	1122
MSTRG.10480	951
MSTRG.10481	453
MSTRG.10482	2490
MSTRG.10483	939
MSTRG.10484	2193
MSTRG.10485	972
MSTRG.10486	1071
MSTRG.10487	645
MSTRG.10488	876
MSTRG.10489	675
MSTRG.1049	3324
MSTRG.10490	3117
MSTRG.10491	1470
MSTRG.10492	1884
MSTRG.10493	486
MSTRG.10494	1707
MSTRG.10495	2280
MSTRG.10496	489
MSTRG.10497	519
MSTRG.10498	1947
MSTRG.10499	1410
MSTRG.105	603
MSTRG.1050	1446
MSTRG.10500	2580
MSTRG.10501	489
MSTRG.10502	912
MSTRG.10503	2790
MSTRG.10504	1248
MSTRG.10505	1308
MSTRG.10506	486
MSTRG.10507	567
MSTRG.10508	1401
MSTRG.10509	2001
MSTRG.1051	1446
MSTRG.10510	633
MSTRG.10511	1875
MSTRG.10512	627
MSTRG.10513	234
MSTRG.10514	1410
MSTRG.10515	486
MSTRG.10516	1248
MSTRG.10517	3789
MSTRG.10518	486
MSTRG.10519	2565
MSTRG.1052	1446
MSTRG.10520	1992
MSTRG.10521	3075
MSTRG.10522	3189
MSTRG.10523	1353
MSTRG.10524	324
MSTRG.10525	915
MSTRG.10526	3528
MSTRG.10527	1719
MSTRG.10528	2247
MSTRG.10529	2730
MSTRG.1053	732
MSTRG.10530	1497
MSTRG.10531	2589
MSTRG.10532	930
MSTRG.10533	1440
MSTRG.10534	306
MSTRG.10535	669
MSTRG.10536	681
MSTRG.10537	780
MSTRG.10538	765
MSTRG.10539	741
MSTRG.1054	1782
MSTRG.10540	1116
MSTRG.10541	375
MSTRG.10542	237
MSTRG.10543	1242
MSTRG.10544	1134
MSTRG.10545	438
MSTRG.10546	780
MSTRG.10547	1713
MSTRG.10548	957
MSTRG.10549	1638
MSTRG.1055	1200
MSTRG.10550	291
MSTRG.10551	786
MSTRG.10552	993
MSTRG.10553	1461
MSTRG.10554	597
MSTRG.10555	1092
MSTRG.10556	639
MSTRG.10557	8052
MSTRG.10558	633
MSTRG.10559	1200
MSTRG.1056	1839
MSTRG.10560	2943
MSTRG.10561	762
MSTRG.10562	3033
MSTRG.10563	918
MSTRG.10564	1803
MSTRG.10565	270
MSTRG.10566	558
MSTRG.10567	1482
MSTRG.10568	1638
MSTRG.10569	597
MSTRG.1057	549
MSTRG.10570	423
MSTRG.10571	741
MSTRG.10572	926
MSTRG.10573	321
MSTRG.10574	552
MSTRG.10575	399
MSTRG.10576	456
MSTRG.10577	477
MSTRG.10578	597
MSTRG.10579	519
MSTRG.1058	906
MSTRG.10580	699
MSTRG.10581	645
MSTRG.10582	1113
MSTRG.10583	1062
MSTRG.10584	624
MSTRG.10585	636
MSTRG.10586	1089
MSTRG.10587	846
MSTRG.10588	600
MSTRG.10589	789
MSTRG.1059	6222
MSTRG.10590	1638
MSTRG.10591	1920
MSTRG.10592	2088
MSTRG.10593	1668
MSTRG.10594	2118
MSTRG.10595	1737
MSTRG.10596	4317
MSTRG.10597	408
MSTRG.10598	456
MSTRG.10599	1389
MSTRG.106	1494
MSTRG.1060	5265
MSTRG.10600	1164
MSTRG.10601	453
MSTRG.10602	1068
MSTRG.10603	1857
MSTRG.10604	828
MSTRG.10605	651
MSTRG.10606	651
MSTRG.10607	648
MSTRG.10608	666
MSTRG.10609	459
MSTRG.1061	1917
MSTRG.10610	633
MSTRG.10611	636
MSTRG.10612	636
MSTRG.10613	636
MSTRG.10614	624
MSTRG.10615	360
MSTRG.10616	732
MSTRG.10617	1173
MSTRG.10618	2304
MSTRG.10619	2235
MSTRG.1062	1923
MSTRG.10620	2220
MSTRG.10621	555
MSTRG.10622	2337
MSTRG.10623	708
MSTRG.10624	723
MSTRG.10625	1224
MSTRG.10626	795
MSTRG.10627	1116
MSTRG.10628	927
MSTRG.10629	3231
MSTRG.1063	2028
MSTRG.10630	1059
MSTRG.10631	636
MSTRG.10632	1410
MSTRG.10633	999
MSTRG.10634	1308
MSTRG.10635	900
MSTRG.10636	5499
MSTRG.10637	834
MSTRG.10638	1053
MSTRG.10639	969
MSTRG.1064	1821
MSTRG.10640	4716
MSTRG.10641	525
MSTRG.10642	1659
MSTRG.10643	423
MSTRG.10644	615
MSTRG.10645	810
MSTRG.10646	666
MSTRG.10647	1143
MSTRG.10648	507
MSTRG.10649	906
MSTRG.1065	1890
MSTRG.10650	789
MSTRG.10651	408
MSTRG.10652	618
MSTRG.10653	5034
MSTRG.10654	741
MSTRG.10655	1980
MSTRG.10656	372
MSTRG.10657	819
MSTRG.10658	339
MSTRG.10659	3813
MSTRG.1066	2190
MSTRG.10660	3051
MSTRG.10661	2121
MSTRG.10662	2109
MSTRG.10663	729
MSTRG.10664	1248
MSTRG.10665	1557
MSTRG.10666	519
MSTRG.10667	1347
MSTRG.10668	1137
MSTRG.10669	1746
MSTRG.1067	770
MSTRG.10670	819
MSTRG.10671	939
MSTRG.10672	4242
MSTRG.10673	1533
MSTRG.10674	132
MSTRG.10675	651
MSTRG.10676	3228
MSTRG.10677	1116
MSTRG.10678	2568
MSTRG.10679	1506
MSTRG.1068	1971
MSTRG.10680	2088
MSTRG.10681	441
MSTRG.10682	1638
MSTRG.10683	1839
MSTRG.10684	552
MSTRG.10685	1965
MSTRG.10686	1014
MSTRG.10687	4104
MSTRG.10688	744
MSTRG.10689	507
MSTRG.1069	2037
MSTRG.10690	840
MSTRG.10691	1191
MSTRG.10692	216
MSTRG.10693	336
MSTRG.10694	969
MSTRG.10695	414
MSTRG.10696	267
MSTRG.10697	1449
MSTRG.10698	1227
MSTRG.10699	1380
MSTRG.107	795
MSTRG.1070	966
MSTRG.10700	444
MSTRG.10701	462
MSTRG.10702	1248
MSTRG.10703	3366
MSTRG.10704	732
MSTRG.10705	735
MSTRG.10706	1662
MSTRG.10707	1068
MSTRG.10708	1230
MSTRG.10709	1194
MSTRG.1071	2928
MSTRG.10710	1005
MSTRG.10711	5715
MSTRG.10712	1077
MSTRG.10713	1467
MSTRG.10714	627
MSTRG.10715	942
MSTRG.10716	957
MSTRG.10717	804
MSTRG.10718	1029
MSTRG.10719	1914
MSTRG.1072	2226
MSTRG.10720	585
MSTRG.10721	10656
MSTRG.10722	11178
MSTRG.10723	879
MSTRG.10724	2985
MSTRG.10725	1947
MSTRG.10726	75
MSTRG.10727	2844
MSTRG.10728	912
MSTRG.10729	912
MSTRG.1073	858
MSTRG.10730	678
MSTRG.10731	1023
MSTRG.10732	1266
MSTRG.10733	918
MSTRG.10734	4044
MSTRG.10735	1161
MSTRG.10736	747
MSTRG.10737	618
MSTRG.10738	3780
MSTRG.10739	1458
MSTRG.1074	678
MSTRG.10740	972
MSTRG.10741	1239
MSTRG.10742	960
MSTRG.10743	1068
MSTRG.10744	1164
MSTRG.10745	600
MSTRG.10746	1044
MSTRG.10747	708
MSTRG.10748	516
MSTRG.10749	1434
MSTRG.1075	1080
MSTRG.10750	1908
MSTRG.10751	255
MSTRG.10752	222
MSTRG.10753	2082
MSTRG.10754	705
MSTRG.10755	5655
MSTRG.10756	2508
MSTRG.10757	1209
MSTRG.10758	726
MSTRG.10759	1914
MSTRG.1076	660
MSTRG.10760	1014
MSTRG.10761	786
MSTRG.10762	711
MSTRG.10763	2814
MSTRG.10764	2439
MSTRG.10765	225
MSTRG.10766	906
MSTRG.10767	687
MSTRG.10768	3150
MSTRG.10769	1710
MSTRG.1077	861
MSTRG.10770	354
MSTRG.10771	4173
MSTRG.10772	1974
MSTRG.10773	1932
MSTRG.10774	1962
MSTRG.10775	1710
MSTRG.10776	1041
MSTRG.10777	1338
MSTRG.10778	588
MSTRG.10779	14652
MSTRG.1078	1104
MSTRG.10780	4899
MSTRG.10781	957
MSTRG.10782	2100
MSTRG.10783	2040
MSTRG.10784	5511
MSTRG.10785	966
MSTRG.10786	990
MSTRG.10787	2175
MSTRG.10788	1689
MSTRG.10789	1437
MSTRG.1079	681
MSTRG.10790	1989
MSTRG.10791	219
MSTRG.10792	1518
MSTRG.10793	2370
MSTRG.10794	885
MSTRG.10795	2331
MSTRG.10796	969
MSTRG.10797	1662
MSTRG.10798	528
MSTRG.10799	2961
MSTRG.108	1242
MSTRG.1080	2634
MSTRG.10800	984
MSTRG.10801	402
MSTRG.10802	285
MSTRG.10803	2205
MSTRG.10804	9303
MSTRG.10805	465
MSTRG.10806	1674
MSTRG.10807	2181
MSTRG.10808	969
MSTRG.10809	6030
MSTRG.1081	1203
MSTRG.10810	15174
MSTRG.10811	1218
MSTRG.10812	810
MSTRG.10813	357
MSTRG.10814	255
MSTRG.10815	225
MSTRG.10816	1998
MSTRG.10817	1017
MSTRG.10818	1698
MSTRG.10819	900
MSTRG.1082	1953
MSTRG.10820	1464
MSTRG.10821	1452
MSTRG.10822	774
MSTRG.10823	3144
MSTRG.10824	831
MSTRG.10825	717
MSTRG.10826	705
MSTRG.10827	666
MSTRG.10828	645
MSTRG.10829	582
MSTRG.1083	11559
MSTRG.10830	849
MSTRG.10831	756
MSTRG.10832	1590
MSTRG.10833	1353
MSTRG.10834	1752
MSTRG.10835	297
MSTRG.10836	594
MSTRG.10837	846
MSTRG.10838	2496
MSTRG.10839	1020
MSTRG.1084	1425
MSTRG.10840	399
MSTRG.10841	3426
MSTRG.10842	1380
MSTRG.10843	1572
MSTRG.10844	1428
MSTRG.10845	2037
MSTRG.10846	3909
MSTRG.10847	1269
MSTRG.10848	1602
MSTRG.10849	3978
MSTRG.1085	699
MSTRG.10850	1446
MSTRG.10851	1098
MSTRG.10852	1095
MSTRG.10853	1866
MSTRG.10854	3147
MSTRG.10855	297
MSTRG.10856	4023
MSTRG.10857	1098
MSTRG.10858	3876
MSTRG.10859	6507
MSTRG.1086	1713
MSTRG.10860	384
MSTRG.10861	660
MSTRG.10862	1434
MSTRG.10863	1599
MSTRG.10864	993
MSTRG.10865	2118
MSTRG.10866	891
MSTRG.10867	1716
MSTRG.10868	3507
MSTRG.10869	1047
MSTRG.1087	2385
MSTRG.10870	465
MSTRG.10871	1548
MSTRG.10872	564
MSTRG.10873	1269
MSTRG.10874	1362
MSTRG.10875	1032
MSTRG.10876	450
MSTRG.10877	309
MSTRG.10878	1665
MSTRG.10879	3129
MSTRG.1088	861
MSTRG.10880	1875
MSTRG.10881	13950
MSTRG.10882	876
MSTRG.10883	459
MSTRG.10884	2970
MSTRG.10885	1650
MSTRG.10886	915
MSTRG.10887	1611
MSTRG.10888	2868
MSTRG.10889	1743
MSTRG.1089	1674
MSTRG.10890	1188
MSTRG.10891	1467
MSTRG.10892	2340
MSTRG.10893	6030
MSTRG.10894	3018
MSTRG.10895	1530
MSTRG.10896	1584
MSTRG.10897	1020
MSTRG.10898	2907
MSTRG.10899	801
MSTRG.109	414
MSTRG.1090	906
MSTRG.10900	795
MSTRG.10901	651
MSTRG.10902	1866
MSTRG.10903	3009
MSTRG.10904	3288
MSTRG.10905	1290
MSTRG.10906	831
MSTRG.10907	621
MSTRG.10908	630
MSTRG.10909	2421
MSTRG.1091	1179
MSTRG.10910	3288
MSTRG.10911	192
MSTRG.10912	336
MSTRG.10913	816
MSTRG.10914	876
MSTRG.10915	1119
MSTRG.10916	1815
MSTRG.10917	954
MSTRG.10918	336
MSTRG.10919	327
MSTRG.1092	1521
MSTRG.10920	663
MSTRG.10921	1215
MSTRG.10922	711
MSTRG.10923	969
MSTRG.10924	1527
MSTRG.10925	1662
MSTRG.10926	1643
MSTRG.10927	507
MSTRG.10928	441
MSTRG.10929	1794
MSTRG.1093	255
MSTRG.10930	987
MSTRG.10931	1623
MSTRG.10932	885
MSTRG.10933	1623
MSTRG.10934	225
MSTRG.10935	471
MSTRG.10936	495
MSTRG.10937	1512
MSTRG.10938	1827
MSTRG.10939	456
MSTRG.1094	1404
MSTRG.10940	1443
MSTRG.10941	978
MSTRG.10942	354
MSTRG.10943	834
MSTRG.10944	2541
MSTRG.10945	273
MSTRG.10946	912
MSTRG.10947	999
MSTRG.10948	936
MSTRG.10949	408
MSTRG.1095	1245
MSTRG.10950	435
MSTRG.10951	258
MSTRG.10952	228
MSTRG.10953	3480
MSTRG.10954	1548
MSTRG.10955	1533
MSTRG.10956	474
MSTRG.10957	537
MSTRG.10958	648
MSTRG.10959	654
MSTRG.1096	1731
MSTRG.10960	759
MSTRG.10961	759
MSTRG.10962	429
MSTRG.10963	270
MSTRG.10964	798
MSTRG.10965	939
MSTRG.10966	1155
MSTRG.10967	792
MSTRG.10968	896
MSTRG.10969	1137
MSTRG.1097	813
MSTRG.10970	504
MSTRG.10971	648
MSTRG.10972	303
MSTRG.10973	306
MSTRG.10974	345
MSTRG.10975	933
MSTRG.10976	567
MSTRG.10977	438
MSTRG.10978	972
MSTRG.10979	543
MSTRG.1098	1182
MSTRG.10980	1800
MSTRG.10981	966
MSTRG.10982	453
MSTRG.10983	1419
MSTRG.10984	303
MSTRG.10985	2106
MSTRG.10986	2691
MSTRG.10987	774
MSTRG.10988	354
MSTRG.10989	1653
MSTRG.1099	912
MSTRG.10990	363
MSTRG.10991	681
MSTRG.10992	1833
MSTRG.10993	1614
MSTRG.10994	1467
MSTRG.10995	561
MSTRG.10996	1140
MSTRG.10997	201
MSTRG.10998	894
MSTRG.10999	288
MSTRG.11	516
MSTRG.110	1137
MSTRG.1100	486
MSTRG.11000	2736
MSTRG.11001	1356
MSTRG.11002	894
MSTRG.11003	345
MSTRG.11004	369
MSTRG.11005	621
MSTRG.11006	762
MSTRG.11007	4668
MSTRG.11008	660
MSTRG.11009	411
MSTRG.1101	1092
MSTRG.11010	840
MSTRG.11011	798
MSTRG.11012	408
MSTRG.11013	2490
MSTRG.11014	534
MSTRG.11015	1641
MSTRG.11016	4362
MSTRG.11017	1344
MSTRG.11018	1362
MSTRG.11019	672
MSTRG.1102	855
MSTRG.11020	564
MSTRG.11021	1533
MSTRG.11022	999
MSTRG.11023	1146
MSTRG.11024	384
MSTRG.11025	570
MSTRG.11026	294
MSTRG.11027	435
MSTRG.11028	1059
MSTRG.11029	561
MSTRG.1103	5358
MSTRG.11030	672
MSTRG.11031	465
MSTRG.11032	852
MSTRG.11033	798
MSTRG.11034	1767
MSTRG.11035	882
MSTRG.11036	654
MSTRG.11037	951
MSTRG.11038	567
MSTRG.11039	246
MSTRG.1104	759
MSTRG.11040	1200
MSTRG.11041	1203
MSTRG.11042	210
MSTRG.11043	930
MSTRG.11044	519
MSTRG.11045	1695
MSTRG.11046	921
MSTRG.11047	798
MSTRG.11048	408
MSTRG.11049	831
MSTRG.1105	582
MSTRG.11050	972
MSTRG.11051	1095
MSTRG.11052	1977
MSTRG.11053	639
MSTRG.11054	1368
MSTRG.11055	210
MSTRG.11056	402
MSTRG.11057	696
MSTRG.11058	477
MSTRG.11059	375
MSTRG.1106	1011
MSTRG.11060	477
MSTRG.11061	816
MSTRG.11062	981
MSTRG.11063	267
MSTRG.11064	1125
MSTRG.11065	1347
MSTRG.11066	738
MSTRG.11067	282
MSTRG.11068	4992
MSTRG.11069	306
MSTRG.1107	1569
MSTRG.11070	2886
MSTRG.11071	1347
MSTRG.11072	948
MSTRG.11073	333
MSTRG.11074	831
MSTRG.11075	759
MSTRG.11076	258
MSTRG.11077	555
MSTRG.11078	1002
MSTRG.11079	252
MSTRG.1108	1398
MSTRG.11080	318
MSTRG.11081	330
MSTRG.11082	2712
MSTRG.11083	243
MSTRG.11084	258
MSTRG.11085	558
MSTRG.11086	1293
MSTRG.11087	1512
MSTRG.11088	2337
MSTRG.11089	1566
MSTRG.1109	1254
MSTRG.11090	2262
MSTRG.11091	258
MSTRG.11092	213
MSTRG.11093	483
