From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology IDs	Gene Ontology (molecular function)	Gene Ontology (GO)
XP_022791496.1	A0A2B4S5H3	unreviewed	A0A2B4S5H3_STYPI	Major facilitator superfamily domain-containing protein 4A	Mfsd4 AWC38_SpisGene10264	Stylophora pistillata (Smooth cauliflower coral)	560	membrane [GO:0016020]		GO:0016020; GO:0022857	transmembrane transporter activity [GO:0022857]	membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]
XP_022783999.1	A0A2B4SLZ7	unreviewed	A0A2B4SLZ7_STYPI	Integrase zinc-binding domain-containing protein	AWC38_SpisGene5664	Stylophora pistillata (Smooth cauliflower coral)	310					
XP_038065715.1	A0A914ANW2	unreviewed	A0A914ANW2_PATMI	Reverse transcriptase domain-containing protein		Patiria miniata (Bat star) (Asterina miniata)	827					
XP_031573732.1	A0A6P8J2B6	unreviewed	A0A6P8J2B6_ACTTE	Uncharacterized protein LOC116307604	LOC116307604	Actinia tenebrosa (Australian red waratah sea anemone)	660			GO:0003824	catalytic activity [GO:0003824]	catalytic activity [GO:0003824]
XP_028518623.1	A0A913YU83	unreviewed	A0A913YU83_EXADI	Uncharacterized protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	964					
XP_022804562.1	A0A2B4RK36	unreviewed	A0A2B4RK36_STYPI	Guanylate-binding protein 6	GBP6 AWC38_SpisGene18976	Stylophora pistillata (Smooth cauliflower coral)	1027			GO:0003924; GO:0005525	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]
XP_027038430.1	A0A3M6U9V6	unreviewed	A0A3M6U9V6_POCDA	EF-hand domain-containing protein	pdam_00026017	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	70					
XP_020892393.1	A0A913WQ42	unreviewed	A0A913WQ42_EXADI	SWIM-type domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	1535			GO:0008270	zinc ion binding [GO:0008270]	zinc ion binding [GO:0008270]
XP_028514270.1	A0A913YG03	unreviewed	A0A913YG03_EXADI	ATP-dependent DNA helicase (EC 3.6.4.12)		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	2030		DNA recombination [GO:0006310]; DNA repair [GO:0006281]; telomere maintenance [GO:0000723]	GO:0000723; GO:0003678; GO:0005524; GO:0006281; GO:0006310; GO:0016787	ATP binding [GO:0005524]; DNA helicase activity [GO:0003678]; hydrolase activity [GO:0016787]	ATP binding [GO:0005524]; DNA helicase activity [GO:0003678]; hydrolase activity [GO:0016787]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; telomere maintenance [GO:0000723]
XP_031556152.1	A0A6P8HMB1	unreviewed	A0A6P8HMB1_ACTTE	Uncharacterized protein LOC116292943	LOC116292943	Actinia tenebrosa (Australian red waratah sea anemone)	431					
XP_027037818.1	A0A3M6UP81	unreviewed	A0A3M6UP81_POCDA	Actin, cytoplasmic	pdam_00019358	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	376					
XP_028519494.1	A0A913YW93	unreviewed	A0A913YW93_EXADI	Transposase		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	430					
XP_027043348.1	A0A3M6TYS2	unreviewed	A0A3M6TYS2_POCDA	DUF5641 domain-containing protein	pdam_00020512	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	223					
XP_020915000.1	A0A913Y691	unreviewed	A0A913Y691_EXADI	Uncharacterized protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	423					
XP_031572974.1	A0A6P8J0J3	unreviewed	A0A6P8J0J3_ACTTE	Uncharacterized protein LOC116306978	LOC116306978	Actinia tenebrosa (Australian red waratah sea anemone)	343			GO:0003676	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]
XP_022809722.1	A0A2B4R3D8	unreviewed	A0A2B4R3D8_STYPI	Uncharacterized protein	AWC38_SpisGene23124	Stylophora pistillata (Smooth cauliflower coral)	810					
XP_020905418.1	A0A913XJK8	unreviewed	A0A913XJK8_EXADI	Uncharacterized protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	229					
XP_031549046.1	A0A6P8H0Z4	unreviewed	A0A6P8H0Z4_ACTTE	Uncharacterized protein LOC116286635	LOC116286635	Actinia tenebrosa (Australian red waratah sea anemone)	188					
XP_022800712.1	A0A2B4RSK6	unreviewed	A0A2B4RSK6_STYPI	Small ribosomal subunit protein eS1	AWC38_SpisGene16351	Stylophora pistillata (Smooth cauliflower coral)	260	cytosolic small ribosomal subunit [GO:0022627]	translation [GO:0006412]	GO:0003735; GO:0006412; GO:0022627	structural constituent of ribosome [GO:0003735]	cytosolic small ribosomal subunit [GO:0022627]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
XP_020902146.1	A0A913XBQ5	unreviewed	A0A913XBQ5_EXADI	Integrase		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	272		DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	DNA binding [GO:0003677]	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]
XP_028514437.1	A0A913YIV8	unreviewed	A0A913YIV8_EXADI	CCHC-type domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	416			GO:0003676; GO:0008270	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]
XP_027038981.1	A0A3M6UNP3	unreviewed	A0A3M6UNP3_POCDA	OB domain-containing protein	pdam_00025080	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	445					
XP_027058383.1	A0A3M6UT50	unreviewed	A0A3M6UT50_POCDA	TNF receptor-associated factor	pdam_00006325	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	373	cytoplasm [GO:0005737]	regulation of apoptotic process [GO:0042981]; regulation of canonical NF-kappaB signal transduction [GO:0043122]; signal transduction [GO:0007165]	GO:0005737; GO:0007165; GO:0008270; GO:0042981; GO:0043122	zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]; regulation of apoptotic process [GO:0042981]; regulation of canonical NF-kappaB signal transduction [GO:0043122]; signal transduction [GO:0007165]
XP_027053689.1	A0A3M6T962	unreviewed	A0A3M6T962_POCDA	Protein kinase domain-containing protein	pdam_00023987	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1111		necroptotic signaling pathway [GO:0097527]	GO:0004672; GO:0005524; GO:0097527	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; necroptotic signaling pathway [GO:0097527]
XP_020904010.1	A0A913XGF0	unreviewed	A0A913XGF0_EXADI	Uncharacterized protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	333					
XP_027050093.1	A0A3M6THI6	unreviewed	A0A3M6THI6_POCDA	SUEL-type lectin domain-containing protein	pdam_00012012	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	221			GO:0030246	carbohydrate binding [GO:0030246]	carbohydrate binding [GO:0030246]
XP_022795149.1	A0A2B4R643	unreviewed	A0A2B4R643_STYPI	RNA-directed DNA polymerase from mobile element jockey	jockey\pol AWC38_SpisGene24156	Stylophora pistillata (Smooth cauliflower coral)	650			GO:0003964	RNA-directed DNA polymerase activity [GO:0003964]	RNA-directed DNA polymerase activity [GO:0003964]
XP_022795149.1	A0A2B4RG49	unreviewed	A0A2B4RG49_STYPI	Putative RNA-directed DNA polymerase from transposon X-element	AWC38_SpisGene19594	Stylophora pistillata (Smooth cauliflower coral)	1599	membrane [GO:0016020]		GO:0003964; GO:0008168; GO:0016020; GO:0016706	2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; methyltransferase activity [GO:0008168]; RNA-directed DNA polymerase activity [GO:0003964]	membrane [GO:0016020]; 2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; methyltransferase activity [GO:0008168]; RNA-directed DNA polymerase activity [GO:0003964]
XP_022795149.1	A0A2B4RIQ8	unreviewed	A0A2B4RIQ8_STYPI	RNA-directed DNA polymerase from mobile element jockey	jockey\pol AWC38_SpisGene19595	Stylophora pistillata (Smooth cauliflower coral)	1161			GO:0003964	RNA-directed DNA polymerase activity [GO:0003964]	RNA-directed DNA polymerase activity [GO:0003964]
XP_022795149.1	A0A2B4S0J4	unreviewed	A0A2B4S0J4_STYPI	Cleavage stimulation factor subunit 2	CSTF2 AWC38_SpisGene12520	Stylophora pistillata (Smooth cauliflower coral)	993	mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]	mRNA 3'-end processing [GO:0031124]	GO:0003729; GO:0005847; GO:0031124	mRNA binding [GO:0003729]	mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; mRNA binding [GO:0003729]; mRNA 3'-end processing [GO:0031124]
XP_022795149.1	A0A2B4S2K6	unreviewed	A0A2B4S2K6_STYPI	Reverse transcriptase domain-containing protein	AWC38_SpisGene12686	Stylophora pistillata (Smooth cauliflower coral)	439					
XP_020904464.1	A0A913XHR1	unreviewed	A0A913XHR1_EXADI	BEN domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	296					
XP_031552553.1	A0A6P8HBP5	unreviewed	A0A6P8HBP5_ACTTE	Uncharacterized protein LOC116289752 isoform X3	LOC116289752	Actinia tenebrosa (Australian red waratah sea anemone)	822			GO:0008270	zinc ion binding [GO:0008270]	zinc ion binding [GO:0008270]
XP_022777761.1	A0A2B4R2D4	unreviewed	A0A2B4R2D4_STYPI	Integrase zinc-binding domain-containing protein	AWC38_SpisGene24362	Stylophora pistillata (Smooth cauliflower coral)	263					
XP_022784548.1	A0A2B4SH80	unreviewed	A0A2B4SH80_STYPI	Dynein heavy chain 6, axonemal	DNAH6 AWC38_SpisGene5962	Stylophora pistillata (Smooth cauliflower coral)	4188	cilium [GO:0005929]; cytoplasm [GO:0005737]; dynein complex [GO:0030286]; microtubule [GO:0005874]	microtubule-based movement [GO:0007018]	GO:0005524; GO:0005737; GO:0005874; GO:0005929; GO:0007018; GO:0008569; GO:0016887; GO:0030286; GO:0045505; GO:0051959	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; dynein intermediate chain binding [GO:0045505]; dynein light intermediate chain binding [GO:0051959]; minus-end-directed microtubule motor activity [GO:0008569]	cilium [GO:0005929]; cytoplasm [GO:0005737]; dynein complex [GO:0030286]; microtubule [GO:0005874]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; dynein intermediate chain binding [GO:0045505]; dynein light intermediate chain binding [GO:0051959]; minus-end-directed microtubule motor activity [GO:0008569]; microtubule-based movement [GO:0007018]
XP_022796265.1	A0A2B4S0M7	unreviewed	A0A2B4S0M7_STYPI	Uncharacterized protein	AWC38_SpisGene13429	Stylophora pistillata (Smooth cauliflower coral)	409		DNA repair [GO:0006281]	GO:0006281		DNA repair [GO:0006281]
XP_028514836.1	A0A913YKJ2	unreviewed	A0A913YKJ2_EXADI	Uncharacterized protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	839					
XP_013408762.1	A0A1S3JEC7	unreviewed	A0A1S3JEC7_LINUN	Uncharacterized protein K02A2.6-like	LOC106172546	Lingula unguis	1343		DNA integration [GO:0015074]; proteolysis [GO:0006508]	GO:0003676; GO:0004190; GO:0006508; GO:0015074	aspartic-type endopeptidase activity [GO:0004190]; nucleic acid binding [GO:0003676]	aspartic-type endopeptidase activity [GO:0004190]; nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]; proteolysis [GO:0006508]
XP_022791287.1	A0A2B4S9M9	unreviewed	A0A2B4S9M9_STYPI	Uncharacterized protein	AWC38_SpisGene10161	Stylophora pistillata (Smooth cauliflower coral)	299					
XP_020912587.1	A0A913XZ90	unreviewed	A0A913XZ90_EXADI	SAP domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	321					
XP_022800360.1	A0A2B4RLZ8	unreviewed	A0A2B4RLZ8_STYPI	Zinc finger protein 862	ZNF862 AWC38_SpisGene16148	Stylophora pistillata (Smooth cauliflower coral)	695					
XP_022777960.1	A0A2B4R544	unreviewed	A0A2B4R544_STYPI	Uncharacterized protein K02A2.6	K02A2.6 AWC38_SpisGene24573	Stylophora pistillata (Smooth cauliflower coral)	530		DNA integration [GO:0015074]	GO:0003676; GO:0015074	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]
XP_028515856.1	A0A913YNT1	unreviewed	A0A913YNT1_EXADI	Transposase domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	905	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]
XP_022800670.1	A0A2B4RSP5	unreviewed	A0A2B4RSP5_STYPI	Mutator-like transposase domain-containing protein	AWC38_SpisGene16335	Stylophora pistillata (Smooth cauliflower coral)	906					
XP_022798026.1	A0A2B4RXH4	unreviewed	A0A2B4RXH4_STYPI	Uncharacterized protein K02A2.6	K02A2.6 AWC38_SpisGene14585	Stylophora pistillata (Smooth cauliflower coral)	702			GO:0003676; GO:0008270	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]
XP_029188806.1	P0DUG2	reviewed	AMP1_ACRMI	Antimicrobial peptide AmAMP1		Acropora millepora (Staghorn coral) (Heteropora millepora)	117	extracellular region [GO:0005576]	defense response to bacterium [GO:0042742]	GO:0005576; GO:0042742		extracellular region [GO:0005576]; defense response to bacterium [GO:0042742]
XP_022794189.1	A0A2B4S1Z0	unreviewed	A0A2B4S1Z0_STYPI	Myb/SANT-like DNA-binding domain-containing protein	AWC38_SpisGene12043	Stylophora pistillata (Smooth cauliflower coral)	255					
XP_031561967.1	A0A6P8I9W4	unreviewed	A0A6P8I9W4_ACTTE	Uncharacterized protein LOC116297806	LOC116297806	Actinia tenebrosa (Australian red waratah sea anemone)	172			GO:0003676	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]
XP_022783675.1	A0A2B4SK87	unreviewed	A0A2B4SK87_STYPI	Endonuclease/exonuclease/phosphatase domain-containing protein	AWC38_SpisGene5395	Stylophora pistillata (Smooth cauliflower coral)	429	extracellular matrix [GO:0031012]		GO:0003824; GO:0031012	catalytic activity [GO:0003824]	extracellular matrix [GO:0031012]; catalytic activity [GO:0003824]
XP_031574960.1	A0A6P8JF03	unreviewed	A0A6P8JF03_ACTTE	Uncharacterized protein K02A2.6-like	LOC116308629	Actinia tenebrosa (Australian red waratah sea anemone)	603			GO:0003676; GO:0008270	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]
XP_027044697.1	A0A3M6V6E5	unreviewed	A0A3M6V6E5_POCDA	Rab-GAP TBC domain-containing protein	pdam_00021296	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	458		intracellular protein transport [GO:0006886]	GO:0005096; GO:0006886	GTPase activator activity [GO:0005096]	GTPase activator activity [GO:0005096]; intracellular protein transport [GO:0006886]
XP_027050925.1	A0A3M6TFM5	unreviewed	A0A3M6TFM5_POCDA	THAP-type domain-containing protein	pdam_00023786	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	111			GO:0008270; GO:0043565	sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]	sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]
XP_027042332.1	A0A3M6UMR4	unreviewed	A0A3M6UMR4_POCDA	Transferrin-like domain-containing protein	pdam_00016155	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	242					
XP_022787948.1	A0A2B4SDM8	unreviewed	A0A2B4SDM8_STYPI	RNA-directed DNA polymerase from mobile element jockey	jockey\pol AWC38_SpisGene8072	Stylophora pistillata (Smooth cauliflower coral)	687			GO:0003964; GO:0008168; GO:0016706	2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; methyltransferase activity [GO:0008168]; RNA-directed DNA polymerase activity [GO:0003964]	2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; methyltransferase activity [GO:0008168]; RNA-directed DNA polymerase activity [GO:0003964]
XP_028517481.1	A0A913YTR8	unreviewed	A0A913YTR8_EXADI	PHD-type domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	1008	nucleus [GO:0005634]	chromatin organization [GO:0006325]; regulation of DNA-templated transcription [GO:0006355]	GO:0005634; GO:0006325; GO:0006355; GO:0008270; GO:0035064	methylated histone binding [GO:0035064]; zinc ion binding [GO:0008270]	nucleus [GO:0005634]; methylated histone binding [GO:0035064]; zinc ion binding [GO:0008270]; chromatin organization [GO:0006325]; regulation of DNA-templated transcription [GO:0006355]
XP_022796300.1	A0A2B4S0L2	unreviewed	A0A2B4S0L2_STYPI	Exosome complex component RRP41	Exosc4 AWC38_SpisGene13472	Stylophora pistillata (Smooth cauliflower coral)	446			GO:0046872	metal ion binding [GO:0046872]	metal ion binding [GO:0046872]
XP_022792607.1	A0A2B4S6H8	unreviewed	A0A2B4S6H8_STYPI	THAP domain-containing protein 1	thap1 AWC38_SpisGene10990	Stylophora pistillata (Smooth cauliflower coral)	460			GO:0003677; GO:0008270	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]
XP_031561526.1	A0A6P8I1W7	unreviewed	A0A6P8I1W7_ACTTE	Uncharacterized protein LOC116297443	LOC116297443	Actinia tenebrosa (Australian red waratah sea anemone)	186			GO:0004842	ubiquitin-protein transferase activity [GO:0004842]	ubiquitin-protein transferase activity [GO:0004842]
XP_020898652.1	A0A913X478	unreviewed	A0A913X478_EXADI	Peptidase aspartic putative domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	1097					
XP_022797641.1	A0A2B4SYX5	unreviewed	A0A2B4SYX5_STYPI	Leukocyte elastase inhibitor	SERPINB1 AWC38_SpisGene1531	Stylophora pistillata (Smooth cauliflower coral)	392	extracellular space [GO:0005615]		GO:0004867; GO:0005615	serine-type endopeptidase inhibitor activity [GO:0004867]	extracellular space [GO:0005615]; serine-type endopeptidase inhibitor activity [GO:0004867]
XP_028514299.1	A0A913YGV0	unreviewed	A0A913YGV0_EXADI	Transposable element P transposase-like RNase H domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	467					
XP_027055982.1	A0A3M6UYE7	unreviewed	A0A3M6UYE7_POCDA	Peptidase S1 domain-containing protein	pdam_00009504	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	327	extracellular space [GO:0005615]	proteolysis [GO:0006508]	GO:0004252; GO:0005615; GO:0006508	serine-type endopeptidase activity [GO:0004252]	extracellular space [GO:0005615]; serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]
XP_022795302.1	A0A2B4S2A4	unreviewed	A0A2B4S2A4_STYPI	Matrilin-2	Matn2 AWC38_SpisGene12772	Stylophora pistillata (Smooth cauliflower coral)	611		defense response to bacterium [GO:0042742]; killing of cells of another organism [GO:0031640]	GO:0003796; GO:0031640; GO:0042742	lysozyme activity [GO:0003796]	lysozyme activity [GO:0003796]; defense response to bacterium [GO:0042742]; killing of cells of another organism [GO:0031640]
XP_031563647.1	A0A6P8ICT1	unreviewed	A0A6P8ICT1_ACTTE	Uncharacterized protein LOC116299158	LOC116299158	Actinia tenebrosa (Australian red waratah sea anemone)	621		DNA repair [GO:0006281]	GO:0004519; GO:0004527; GO:0006281; GO:0008270	endonuclease activity [GO:0004519]; exonuclease activity [GO:0004527]; zinc ion binding [GO:0008270]	endonuclease activity [GO:0004519]; exonuclease activity [GO:0004527]; zinc ion binding [GO:0008270]; DNA repair [GO:0006281]
XP_020898573.1	A0A913X4T2	unreviewed	A0A913X4T2_EXADI	Uncharacterized protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	646					
XP_020913562.1	A0A913Y3K4	unreviewed	A0A913Y3K4_EXADI	Uncharacterized protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	822					
XP_022788378.1	A0A2B4SC74	unreviewed	A0A2B4SC74_STYPI	Craniofacial development protein 2	CFDP2 AWC38_SpisGene8349	Stylophora pistillata (Smooth cauliflower coral)	311					
XP_031572696.1	A0A6P8IYV3	unreviewed	A0A6P8IYV3_ACTTE	Uncharacterized protein LOC116306743	LOC116306743	Actinia tenebrosa (Australian red waratah sea anemone)	537			GO:0003824	catalytic activity [GO:0003824]	catalytic activity [GO:0003824]
XP_022796430.1	A0A2B4SZG6	unreviewed	A0A2B4SZG6_STYPI	Transposon Ty3-G Gag-Pol polyprotein	TY3B-G AWC38_SpisGene1428	Stylophora pistillata (Smooth cauliflower coral)	1995	membrane [GO:0016020]	DNA integration [GO:0015074]	GO:0003676; GO:0003964; GO:0004519; GO:0008270; GO:0015074; GO:0016020	endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]; zinc ion binding [GO:0008270]	membrane [GO:0016020]; endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]
XP_031571509.1	A0A6P8IWK7	unreviewed	A0A6P8IWK7_ACTTE	Uncharacterized protein LOC116305685	LOC116305685	Actinia tenebrosa (Australian red waratah sea anemone)	201					
XP_038062364.1	A0A914AG61	unreviewed	A0A914AG61_PATMI	Reverse transcriptase domain-containing protein		Patiria miniata (Bat star) (Asterina miniata)	757					
XP_027054100.1	A0A3M6T881	unreviewed	A0A3M6T881_POCDA	OTU domain-containing protein	pdam_00016622	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1031					
XP_028517696.1	A0A913YUE9	unreviewed	A0A913YUE9_EXADI	C2H2-type domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	1178					
XP_020911867.1	A0A913XYQ4	unreviewed	A0A913XYQ4_EXADI	Endonuclease/exonuclease/phosphatase domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	364					
XP_022804262.1	A0A2B4REZ2	unreviewed	A0A2B4REZ2_STYPI	Retrovirus-related Pol polyprotein from transposon 17.6	pol AWC38_SpisGene18768	Stylophora pistillata (Smooth cauliflower coral)	734	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]
XP_031553697.1	A0A6P8HM26	unreviewed	A0A6P8HM26_ACTTE	Uncharacterized protein LOC116290736	LOC116290736	Actinia tenebrosa (Australian red waratah sea anemone)	277					
XP_022810639.1	A0A2B4R172	unreviewed	A0A2B4R172_STYPI	Uncharacterized protein K02A2.6	K02A2.6 AWC38_SpisGene23967	Stylophora pistillata (Smooth cauliflower coral)	976					
XP_020897211.1	A0A913X1I5	unreviewed	A0A913X1I5_EXADI	Reverse transcriptase domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	568					
XP_028514687.1	A0A913YJK9	unreviewed	A0A913YJK9_EXADI	Reverse transcriptase domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	186					
XP_020907079.1	A0A913XN87	unreviewed	A0A913XN87_EXADI	Reverse transcriptase domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	361					
