From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology IDs	Gene Ontology (molecular function)	Gene Ontology (GO)
CAB4034075.1	A0A6S7JNB3	unreviewed	A0A6S7JNB3_PARCT	Uncharacterized protein	PACLA_8A016412	Paramuricea clavata (Red gorgonian) (Violescent sea-whip)	684					
KAK2547491.1	A0AAD9PRF5	unreviewed	A0AAD9PRF5_ACRCE	RBR-type E3 ubiquitin transferase (EC 2.3.2.31)	P5673_032490	Acropora cervicornis (Staghorn coral)	480		protein ubiquitination [GO:0016567]	GO:0004842; GO:0008270; GO:0016567	ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]	ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]; protein ubiquitination [GO:0016567]
CAB4005007.1	A0A7D9IFN5	unreviewed	A0A7D9IFN5_PARCT	Transposon Tf2-9 poly	PACLA_8A015498	Paramuricea clavata (Red gorgonian) (Violescent sea-whip)	240					
KAK2552243.1	A0AAD9UW84	unreviewed	A0AAD9UW84_ACRCE	Zinc finger protein 862	P5673_026770	Acropora cervicornis (Staghorn coral)	941					
CAH3122550.1	A0AAU9WR38	unreviewed	A0AAU9WR38_9CNID	Uncharacterized protein	PMEA_00009682	Pocillopora meandrina	150					
KAK2567774.1	A0AAD9QUQ9	unreviewed	A0AAD9QUQ9_ACRCE	guanylate cyclase (EC 4.6.1.2)	P5673_007644	Acropora cervicornis (Staghorn coral)	810	guanylate cyclase complex, soluble [GO:0008074]	cGMP-mediated signaling [GO:0019934]; response to oxygen levels [GO:0070482]	GO:0004383; GO:0005525; GO:0008074; GO:0019934; GO:0020037; GO:0070482	GTP binding [GO:0005525]; guanylate cyclase activity [GO:0004383]; heme binding [GO:0020037]	guanylate cyclase complex, soluble [GO:0008074]; GTP binding [GO:0005525]; guanylate cyclase activity [GO:0004383]; heme binding [GO:0020037]; cGMP-mediated signaling [GO:0019934]; response to oxygen levels [GO:0070482]
KAK2572424.1	A0AAD9R3G9	unreviewed	A0AAD9R3G9_ACRCE	Uncharacterized protein	P5673_002665	Acropora cervicornis (Staghorn coral)	373	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]
KAK2146358.1	A0AAD9J4Q9	unreviewed	A0AAD9J4Q9_9ANNE	DNA-directed RNA polymerases I, II, and III subunit RPABC5	LSH36_614g01024	Paralvinella palmiformis	67	RNA polymerase I complex [GO:0005736]; RNA polymerase II, core complex [GO:0005665]; RNA polymerase III complex [GO:0005666]	tRNA transcription by RNA polymerase III [GO:0042797]	GO:0001054; GO:0001055; GO:0001056; GO:0003677; GO:0005665; GO:0005666; GO:0005736; GO:0008270; GO:0042797	DNA binding [GO:0003677]; RNA polymerase I activity [GO:0001054]; RNA polymerase II activity [GO:0001055]; RNA polymerase III activity [GO:0001056]; zinc ion binding [GO:0008270]	RNA polymerase I complex [GO:0005736]; RNA polymerase II, core complex [GO:0005665]; RNA polymerase III complex [GO:0005666]; DNA binding [GO:0003677]; RNA polymerase I activity [GO:0001054]; RNA polymerase II activity [GO:0001055]; RNA polymerase III activity [GO:0001056]; zinc ion binding [GO:0008270]; tRNA transcription by RNA polymerase III [GO:0042797]
KAK2557792.1	A0AAD9V1L8	unreviewed	A0AAD9V1L8_ACRCE	Sacsin	P5673_019749	Acropora cervicornis (Staghorn coral)	5000			GO:0030544	Hsp70 protein binding [GO:0030544]	Hsp70 protein binding [GO:0030544]
PFX31473.1	A0A2B4SQX8	unreviewed	A0A2B4SQX8_STYPI	HECT domain-containing protein	AWC38_SpisGene3709	Stylophora pistillata (Smooth cauliflower coral)	470			GO:0004842	ubiquitin-protein transferase activity [GO:0004842]	ubiquitin-protein transferase activity [GO:0004842]
KAK2562657.1	A0AAD9QJY6	unreviewed	A0AAD9QJY6_ACRCE	Sulfotransferase family protein	P5673_014350	Acropora cervicornis (Staghorn coral)	244	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]
KAK2561318.1	A0AAD9V4V0	unreviewed	A0AAD9V4V0_ACRCE	Kinetochore protein SPC25	P5673_015811	Acropora cervicornis (Staghorn coral)	236	Ndc80 complex [GO:0031262]; nucleus [GO:0005634]	cell division [GO:0051301]; chromosome segregation [GO:0007059]	GO:0005634; GO:0007059; GO:0031262; GO:0051301		Ndc80 complex [GO:0031262]; nucleus [GO:0005634]; cell division [GO:0051301]; chromosome segregation [GO:0007059]
CAB4009012.1	A0A7D9EFT7	unreviewed	A0A7D9EFT7_PARCT	Arginine N-methyltransferase 8-B	PACLA_8A038576	Paramuricea clavata (Red gorgonian) (Violescent sea-whip)	926					
KAK2547108.1	A0AAD9PQH5	unreviewed	A0AAD9PQH5_ACRCE	Vertnin	P5673_033123	Acropora cervicornis (Staghorn coral)	1329					
KAK2563941.1	A0AAD9V796	unreviewed	A0AAD9V796_ACRCE	Transmembrane protein	P5673_012957	Acropora cervicornis (Staghorn coral)	114	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]
RMX47225.1	A0A3M6U0K3	unreviewed	A0A3M6U0K3_POCDA	Alkylated DNA repair protein AlkB homologue 8 N-terminal domain-containing protein	pdam_00012908	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	346			GO:0008168; GO:0016706	2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; methyltransferase activity [GO:0008168]	2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; methyltransferase activity [GO:0008168]
CAB3987874.1	A0A7D9DK46	unreviewed	A0A7D9DK46_PARCT	Retrovirus-related Pol poly from transposon	PACLA_8A043638	Paramuricea clavata (Red gorgonian) (Violescent sea-whip)	1494		DNA integration [GO:0015074]; proteolysis [GO:0006508]	GO:0003676; GO:0004190; GO:0006508; GO:0015074	aspartic-type endopeptidase activity [GO:0004190]; nucleic acid binding [GO:0003676]	aspartic-type endopeptidase activity [GO:0004190]; nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]; proteolysis [GO:0006508]
KAK2558017.1	A0AAD9V1U2	unreviewed	A0AAD9V1U2_ACRCE	Pre-mRNA-splicing regulator WTAP	P5673_019585	Acropora cervicornis (Staghorn coral)	460	nucleus [GO:0005634]	mRNA modification [GO:0016556]; mRNA processing [GO:0006397]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; RNA splicing [GO:0008380]	GO:0000381; GO:0005634; GO:0006397; GO:0008380; GO:0016556		nucleus [GO:0005634]; mRNA modification [GO:0016556]; mRNA processing [GO:0006397]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; RNA splicing [GO:0008380]
RMX37436.1	A0A3M6T7P1	unreviewed	A0A3M6T7P1_POCDA	Tyr recombinase domain-containing protein	pdam_00025523	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	382		DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	DNA binding [GO:0003677]	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]
KAK2548362.1	A0AAD9PSN5	unreviewed	A0AAD9PSN5_ACRCE	Uncharacterized protein	P5673_031417	Acropora cervicornis (Staghorn coral)	107					
KAJ7384808.1	A0A9X0D3X8	unreviewed	A0A9X0D3X8_9CNID	Uncharacterized protein	OS493_019484	Desmophyllum pertusum	525					
PFX12181.1	A0A2B4R3I3	unreviewed	A0A2B4R3I3_STYPI	DNA-directed DNA polymerase (EC 2.7.7.7)	AWC38_SpisGene23899	Stylophora pistillata (Smooth cauliflower coral)	1289		DNA repair [GO:0006281]; DNA replication [GO:0006260]	GO:0000166; GO:0003677; GO:0003887; GO:0006260; GO:0006281; GO:0008270	DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; nucleotide binding [GO:0000166]; zinc ion binding [GO:0008270]	DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; nucleotide binding [GO:0000166]; zinc ion binding [GO:0008270]; DNA repair [GO:0006281]; DNA replication [GO:0006260]
PFX15453.1	A0A2B4RF62	unreviewed	A0A2B4RF62_STYPI	Putative RNA-directed DNA polymerase from transposon X-element	AWC38_SpisGene20326	Stylophora pistillata (Smooth cauliflower coral)	774			GO:0003964	RNA-directed DNA polymerase activity [GO:0003964]	RNA-directed DNA polymerase activity [GO:0003964]
KAK2556647.1	A0AAD9Q8F9	unreviewed	A0AAD9Q8F9_ACRCE	Fork head domain-containing protein FD3	P5673_021196	Acropora cervicornis (Staghorn coral)	288	nucleus [GO:0005634]	anatomical structure morphogenesis [GO:0009653]; cell differentiation [GO:0030154]	GO:0000978; GO:0000981; GO:0005634; GO:0009653; GO:0030154	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]	nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; anatomical structure morphogenesis [GO:0009653]; cell differentiation [GO:0030154]
KAK2547894.1	A0AAD9US35	unreviewed	A0AAD9US35_ACRCE	Enzymatic polyprotein	P5673_032035	Acropora cervicornis (Staghorn coral)	1332		DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	DNA binding [GO:0003677]	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]
KAK2547849.1	A0AAD9US21	unreviewed	A0AAD9US21_ACRCE	Melatonin receptor type 1B	P5673_032070	Acropora cervicornis (Staghorn coral)	337	membrane [GO:0016020]		GO:0004930; GO:0016020	G protein-coupled receptor activity [GO:0004930]	membrane [GO:0016020]; G protein-coupled receptor activity [GO:0004930]
KAK2550307.1	A0AAD9UUN1	unreviewed	A0AAD9UUN1_ACRCE	FLYWCH-type domain-containing protein	P5673_028997	Acropora cervicornis (Staghorn coral)	214			GO:0008270	zinc ion binding [GO:0008270]	zinc ion binding [GO:0008270]
KAK2554658.1	A0AAD9UYH9	unreviewed	A0AAD9UYH9_ACRCE	Retinol dehydrogenase 8	P5673_023894	Acropora cervicornis (Staghorn coral)	293	cytosol [GO:0005829]		GO:0005829; GO:0016491	oxidoreductase activity [GO:0016491]	cytosol [GO:0005829]; oxidoreductase activity [GO:0016491]
CAB4021807.1	A0A7D9J4P8	unreviewed	A0A7D9J4P8_PARCT	Uncharacterized protein	PACLA_8A055181	Paramuricea clavata (Red gorgonian) (Violescent sea-whip)	728					
KAK2553604.1	A0AAD9Q2P4	unreviewed	A0AAD9Q2P4_ACRCE	Sodium-coupled neutral amino acid transporter 9-like protein	P5673_025096	Acropora cervicornis (Staghorn coral)	568	late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]		GO:0005765; GO:0015179; GO:0031902; GO:0046872	L-amino acid transmembrane transporter activity [GO:0015179]; metal ion binding [GO:0046872]	late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; L-amino acid transmembrane transporter activity [GO:0015179]; metal ion binding [GO:0046872]
KAK2554169.1	A0AAD9Q428	unreviewed	A0AAD9Q428_ACRCE	ATP-dependent DNA helicase Q1	P5673_024526	Acropora cervicornis (Staghorn coral)	163	chromosome [GO:0005694]; cytoplasm [GO:0005737]; nucleus [GO:0005634]	double-strand break repair via homologous recombination [GO:0000724]	GO:0000724; GO:0003676; GO:0005524; GO:0005634; GO:0005694; GO:0005737; GO:0009378; GO:0016853; GO:0043138	3'-5' DNA helicase activity [GO:0043138]; ATP binding [GO:0005524]; four-way junction helicase activity [GO:0009378]; isomerase activity [GO:0016853]; nucleic acid binding [GO:0003676]	chromosome [GO:0005694]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; 3'-5' DNA helicase activity [GO:0043138]; ATP binding [GO:0005524]; four-way junction helicase activity [GO:0009378]; isomerase activity [GO:0016853]; nucleic acid binding [GO:0003676]; double-strand break repair via homologous recombination [GO:0000724]
KAK2558840.1	A0AAD9QCS8	unreviewed	A0AAD9QCS8_ACRCE	THAP domain-containing protein 11	P5673_018451	Acropora cervicornis (Staghorn coral)	326			GO:0003677; GO:0008270	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]
KAK2550206.1	A0AAD9PWN3	unreviewed	A0AAD9PWN3_ACRCE	Uncharacterized protein	P5673_029251	Acropora cervicornis (Staghorn coral)	294					
CAB4000491.1	A0A6S7I118	unreviewed	A0A6S7I118_PARCT	Uncharacterized protein	PACLA_8A084771	Paramuricea clavata (Red gorgonian) (Violescent sea-whip)	538					
CAH3131533.1	A0AAU9WZT4	unreviewed	A0AAU9WZT4_9CNID	BED-type domain-containing protein	PMEA_00014589	Pocillopora meandrina	770					
PFX15902.1	A0A2B4RI22	unreviewed	A0A2B4RI22_STYPI	Retrovirus-related Pol polyprotein from transposon 17.6	pol AWC38_SpisGene19862	Stylophora pistillata (Smooth cauliflower coral)	1213			GO:0003676; GO:0004190; GO:0008270	aspartic-type endopeptidase activity [GO:0004190]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	aspartic-type endopeptidase activity [GO:0004190]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]
KAK2557430.1	A0AAD9QA10	unreviewed	A0AAD9QA10_ACRCE	Leucine-rich repeat-containing protein 41	P5673_020555	Acropora cervicornis (Staghorn coral)	880					
CAB3983000.1	A0A6S7GCB1	unreviewed	A0A6S7GCB1_PARCT	Uncharacterized protein	PACLA_8A009988	Paramuricea clavata (Red gorgonian) (Violescent sea-whip)	655					
KAK2551118.1	A0AAD9UV59	unreviewed	A0AAD9UV59_ACRCE	Uncharacterized protein	P5673_028044	Acropora cervicornis (Staghorn coral)	647	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]
KAK2549517.1	A0AAD9PUR7	unreviewed	A0AAD9PUR7_ACRCE	Serine protease inhibitor dipetalogastin	P5673_030061	Acropora cervicornis (Staghorn coral)	351	extracellular region [GO:0005576]	cell differentiation [GO:0030154]	GO:0004867; GO:0005576; GO:0030154	serine-type endopeptidase inhibitor activity [GO:0004867]	extracellular region [GO:0005576]; serine-type endopeptidase inhibitor activity [GO:0004867]; cell differentiation [GO:0030154]
KAK2559018.1	A0AAD9QD26	unreviewed	A0AAD9QD26_ACRCE	SAP domain-containing protein	P5673_018649	Acropora cervicornis (Staghorn coral)	796					
KAK2549714.1	A0AAD9PVJ2	unreviewed	A0AAD9PVJ2_ACRCE	NudC domain-containing protein 2	P5673_029844	Acropora cervicornis (Staghorn coral)	154	cytoplasm [GO:0005737]	protein folding [GO:0006457]	GO:0005737; GO:0006457; GO:0051082	unfolded protein binding [GO:0051082]	cytoplasm [GO:0005737]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]
KAK2557881.1	A0AAD9V1L9	unreviewed	A0AAD9V1L9_ACRCE	Uncharacterized protein	P5673_019858	Acropora cervicornis (Staghorn coral)	101					
KAK2557953.1	A0AAD9QB30	unreviewed	A0AAD9QB30_ACRCE	Forkhead box protein O	P5673_019515	Acropora cervicornis (Staghorn coral)	555	cytoplasm [GO:0005737]; nucleus [GO:0005634]		GO:0000978; GO:0000981; GO:0005634; GO:0005737	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
PFX22303.1	A0A2B4RZV0	unreviewed	A0A2B4RZV0_STYPI	RNA-directed DNA polymerase from mobile element jockey	pol AWC38_SpisGene13179	Stylophora pistillata (Smooth cauliflower coral)	418			GO:0003964	RNA-directed DNA polymerase activity [GO:0003964]	RNA-directed DNA polymerase activity [GO:0003964]
KAK2567490.1	A0AAD9QUT6	unreviewed	A0AAD9QUT6_ACRCE	Uncharacterized protein	P5673_008313	Acropora cervicornis (Staghorn coral)	169	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]
KAK2552014.1	A0AAD9PZP0	unreviewed	A0AAD9PZP0_ACRCE	Uncharacterized protein	P5673_027028	Acropora cervicornis (Staghorn coral)	483					
KAJ8334181.1	A0A9Q1E8H6	unreviewed	A0A9Q1E8H6_SYNKA	Reverse transcriptase domain-containing protein	SKAU_G00398200	Synaphobranchus kaupii (Kaup's arrowtooth eel)	1002			GO:0003824	catalytic activity [GO:0003824]	catalytic activity [GO:0003824]
KAK2560089.1	A0AAD9V3N5	unreviewed	A0AAD9V3N5_ACRCE	Uncharacterized protein	P5673_017048	Acropora cervicornis (Staghorn coral)	354					
RMX52162.1	A0A3M6UET0	unreviewed	A0A3M6UET0_POCDA	CxC3 like cysteine cluster domain-containing protein	pdam_00019886	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	277					
KAJ7371944.1	A0A9W9Z089	unreviewed	A0A9W9Z089_9CNID	HECT domain-containing protein	OS493_022042	Desmophyllum pertusum	280			GO:0004842	ubiquitin-protein transferase activity [GO:0004842]	ubiquitin-protein transferase activity [GO:0004842]
CAB4012017.1	A0A7D9IRA9	unreviewed	A0A7D9IRA9_PARCT	Uncharacterized protein LOC110237337 isoform X1	PACLA_8A009962	Paramuricea clavata (Red gorgonian) (Violescent sea-whip)	418					
CAH3159114.1	A0AAU9XVH6	unreviewed	A0AAU9XVH6_9CNID	C2H2-type domain-containing protein	PMEA_00031816	Pocillopora meandrina	1183					
KAK2547204.1	A0AAD9URF4	unreviewed	A0AAD9URF4_ACRCE	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (GNT-I) (GlcNAc-T I) (EC 2.4.1.101) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase I)	P5673_032952	Acropora cervicornis (Staghorn coral)	411	Golgi membrane [GO:0000139]	protein N-linked glycosylation [GO:0006487]	GO:0000139; GO:0003827; GO:0006487; GO:0030145	alpha-1,3-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity [GO:0003827]; manganese ion binding [GO:0030145]	Golgi membrane [GO:0000139]; alpha-1,3-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity [GO:0003827]; manganese ion binding [GO:0030145]; protein N-linked glycosylation [GO:0006487]
KAK2555973.1	A0AAD9Q7D5	unreviewed	A0AAD9Q7D5_ACRCE	Uncharacterized protein	P5673_022260	Acropora cervicornis (Staghorn coral)	249					
PFX17945.1	A0A2B4RNU9	unreviewed	A0A2B4RNU9_STYPI	receptor protein-tyrosine kinase (EC 2.7.10.1)	POL AWC38_SpisGene17718	Stylophora pistillata (Smooth cauliflower coral)	2154	membrane [GO:0016020]	DNA integration [GO:0015074]	GO:0003676; GO:0004519; GO:0005004; GO:0005005; GO:0005006; GO:0005007; GO:0005008; GO:0005009; GO:0005010; GO:0005011; GO:0005018; GO:0005019; GO:0005020; GO:0005524; GO:0008288; GO:0015074; GO:0016020; GO:0036332; GO:0038062; GO:0046872; GO:0060175	ATP binding [GO:0005524]; boss receptor activity [GO:0008288]; brain-derived neurotrophic factor receptor activity [GO:0060175]; endonuclease activity [GO:0004519]; epidermal growth factor receptor activity [GO:0005006]; fibroblast growth factor receptor activity [GO:0005007]; GPI-linked ephrin receptor activity [GO:0005004]; hepatocyte growth factor receptor activity [GO:0005008]; insulin receptor activity [GO:0005009]; insulin-like growth factor receptor activity [GO:0005010]; macrophage colony-stimulating factor receptor activity [GO:0005011]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; placental growth factor receptor activity [GO:0036332]; platelet-derived growth factor alpha-receptor activity [GO:0005018]; platelet-derived growth factor beta-receptor activity [GO:0005019]; protein tyrosine kinase collagen receptor activity [GO:0038062]; stem cell factor receptor activity [GO:0005020]; transmembrane-ephrin receptor activity [GO:0005005]	membrane [GO:0016020]; ATP binding [GO:0005524]; boss receptor activity [GO:0008288]; brain-derived neurotrophic factor receptor activity [GO:0060175]; endonuclease activity [GO:0004519]; epidermal growth factor receptor activity [GO:0005006]; fibroblast growth factor receptor activity [GO:0005007]; GPI-linked ephrin receptor activity [GO:0005004]; hepatocyte growth factor receptor activity [GO:0005008]; insulin receptor activity [GO:0005009]; insulin-like growth factor receptor activity [GO:0005010]; macrophage colony-stimulating factor receptor activity [GO:0005011]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; placental growth factor receptor activity [GO:0036332]; platelet-derived growth factor alpha-receptor activity [GO:0005018]; platelet-derived growth factor beta-receptor activity [GO:0005019]; protein tyrosine kinase collagen receptor activity [GO:0038062]; stem cell factor receptor activity [GO:0005020]; transmembrane-ephrin receptor activity [GO:0005005]; DNA integration [GO:0015074]
CAB4029624.1	A0A7D9L8L1	unreviewed	A0A7D9L8L1_PARCT	Uncharacterized protein	PACLA_8A084156	Paramuricea clavata (Red gorgonian) (Violescent sea-whip)	256					
CAB4029078.1	A0A6S7JE92	unreviewed	A0A6S7JE92_PARCT	Uncharacterized protein	PACLA_8A047965	Paramuricea clavata (Red gorgonian) (Violescent sea-whip)	205					
KAK2562314.1	A0AAD9QJH1	unreviewed	A0AAD9QJH1_ACRCE	Integrase catalytic domain-containing protein	P5673_014587	Acropora cervicornis (Staghorn coral)	310			GO:0003676	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]
CAB4014175.1	A0A6S7I5Y6	unreviewed	A0A6S7I5Y6_PARCT	Uncharacterized protein	PACLA_8A046773	Paramuricea clavata (Red gorgonian) (Violescent sea-whip)	724					
CAH3157161.1	A0AAU9XUY1	unreviewed	A0AAU9XUY1_9CNID	TRAF-type domain-containing protein	PMEA_00029876	Pocillopora meandrina	338			GO:0008270	zinc ion binding [GO:0008270]	zinc ion binding [GO:0008270]
KAK2559025.1	A0AAD9V360	unreviewed	A0AAD9V360_ACRCE	FERM	P5673_018657	Acropora cervicornis (Staghorn coral)	1265	cytoskeleton [GO:0005856]		GO:0005085; GO:0005856; GO:0008092	cytoskeletal protein binding [GO:0008092]; guanyl-nucleotide exchange factor activity [GO:0005085]	cytoskeleton [GO:0005856]; cytoskeletal protein binding [GO:0008092]; guanyl-nucleotide exchange factor activity [GO:0005085]
