From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology IDs	Gene Ontology (molecular function)	Gene Ontology (GO)	Gene Names (primary)
XP_027048089.1	A0A3M6TMM6	unreviewed	A0A3M6TMM6_POCDA	Ras-related protein Rab-23	pdam_00024938	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	242			GO:0003924; GO:0005525	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	
XP_027045944.1	A0A3M6V112	unreviewed	A0A3M6V112_POCDA	Signal peptide peptidase-like 3	pdam_00010508	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	380	cytoplasmic side of endoplasmic reticulum membrane [GO:0098554]; Golgi-associated vesicle membrane [GO:0030660]; lumenal side of endoplasmic reticulum membrane [GO:0098553]	membrane protein proteolysis [GO:0033619]; signal peptide processing [GO:0006465]	GO:0006465; GO:0030660; GO:0033619; GO:0042500; GO:0098553; GO:0098554	aspartic endopeptidase activity, intramembrane cleaving [GO:0042500]	cytoplasmic side of endoplasmic reticulum membrane [GO:0098554]; Golgi-associated vesicle membrane [GO:0030660]; lumenal side of endoplasmic reticulum membrane [GO:0098553]; aspartic endopeptidase activity, intramembrane cleaving [GO:0042500]; membrane protein proteolysis [GO:0033619]; signal peptide processing [GO:0006465]	
XP_027055324.1	A0A3M6T571	unreviewed	A0A3M6T571_POCDA	Uncharacterized protein	pdam_00017181	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	340	plasma membrane [GO:0005886]	ATP export [GO:1904669]	GO:0005261; GO:0005886; GO:1904669	monoatomic cation channel activity [GO:0005261]	plasma membrane [GO:0005886]; monoatomic cation channel activity [GO:0005261]; ATP export [GO:1904669]	
XP_020908945.2	A0A913XSB5	unreviewed	A0A913XSB5_EXADI	Replication protein A OB domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	220						
XP_027038425.1	A0A3M6U9W3	unreviewed	A0A3M6U9W3_POCDA	Biogenesis of lysosome-related organelles complex 1 subunit 5	pdam_00018321	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	150	BLOC-1 complex [GO:0031083]; transport vesicle [GO:0030133]		GO:0030133; GO:0031083		BLOC-1 complex [GO:0031083]; transport vesicle [GO:0030133]	
XP_022783280.1	A0A2B4RFG6	unreviewed	A0A2B4RFG6_STYPI	BED-type domain-containing protein	AWC38_SpisGene20558	Stylophora pistillata (Smooth cauliflower coral)	1211						
XP_027055325.1	A0A3M6T5I9	unreviewed	A0A3M6T5I9_POCDA	Serine/threonine-protein phosphatase 4 regulatory subunit 2	pdam_00017183	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	353	cytoplasm [GO:0005737]; nucleus [GO:0005634]; protein phosphatase 4 complex [GO:0030289]		GO:0005634; GO:0005737; GO:0019888; GO:0030289	protein phosphatase regulator activity [GO:0019888]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; protein phosphatase 4 complex [GO:0030289]; protein phosphatase regulator activity [GO:0019888]	
XP_027059295.1	A0A3M6URC4	unreviewed	A0A3M6URC4_POCDA	G-protein coupled receptors family 1 profile domain-containing protein	pdam_00015876	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	267	plasma membrane [GO:0005886]		GO:0004930; GO:0005886	G protein-coupled receptor activity [GO:0004930]	plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	
XP_027053280.1	A0A3M6TAG2	unreviewed	A0A3M6TAG2_POCDA	UBC core domain-containing protein	pdam_00010913	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	204			GO:0005524; GO:0016740	ATP binding [GO:0005524]; transferase activity [GO:0016740]	ATP binding [GO:0005524]; transferase activity [GO:0016740]	
XP_027051566.1	A0A3M6TEE7	unreviewed	A0A3M6TEE7_POCDA	Fucosyltransferase (EC 2.4.1.-)	pdam_00008081	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	440	Golgi cisterna membrane [GO:0032580]	fucosylation [GO:0036065]; protein glycosylation [GO:0006486]	GO:0006486; GO:0032580; GO:0036065; GO:0046920	alpha-(1->3)-fucosyltransferase activity [GO:0046920]	Golgi cisterna membrane [GO:0032580]; alpha-(1->3)-fucosyltransferase activity [GO:0046920]; fucosylation [GO:0036065]; protein glycosylation [GO:0006486]	
XP_027051659.1	A0A3M6UL11	unreviewed	A0A3M6UL11_POCDA	Uncharacterized protein	pdam_00011986	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	261						
XP_027056248.1	A0A3M6UXT0	unreviewed	A0A3M6UXT0_POCDA	Uncharacterized protein	pdam_00010771	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	208	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]	
XP_022800360.1	A0A2B4RLZ8	unreviewed	A0A2B4RLZ8_STYPI	Zinc finger protein 862	ZNF862 AWC38_SpisGene16148	Stylophora pistillata (Smooth cauliflower coral)	695						ZNF862
XP_027054854.1	A0A3M6T6R4	unreviewed	A0A3M6T6R4_POCDA	Uncharacterized protein	pdam_00005031	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	693						
XP_027042237.1	A0A3M6V3D8	unreviewed	A0A3M6V3D8_POCDA	G-protein coupled receptors family 1 profile domain-containing protein	pdam_00004511	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	668	plasma membrane [GO:0005886]		GO:0004930; GO:0005886	G protein-coupled receptor activity [GO:0004930]	plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	
XP_027045255.1	A0A3M6V1C7	unreviewed	A0A3M6V1C7_POCDA	Tetraspanin	pdam_00012072	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	244	plasma membrane [GO:0005886]		GO:0005886		plasma membrane [GO:0005886]	
XP_027058151.1	A0A3M6V5I2	unreviewed	A0A3M6V5I2_POCDA	Intron-binding protein aquarius N-terminal domain-containing protein	pdam_00016680	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1313	catalytic step 2 spliceosome [GO:0071013]	mRNA splicing, via spliceosome [GO:0000398]	GO:0000398; GO:0003729; GO:0071013	mRNA binding [GO:0003729]	catalytic step 2 spliceosome [GO:0071013]; mRNA binding [GO:0003729]; mRNA splicing, via spliceosome [GO:0000398]	
XP_027054991.1	A0A3M6T6I7	unreviewed	A0A3M6T6I7_POCDA	Uncharacterized protein	pdam_00000944	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	259						
XP_027056247.1	A0A3M6UXT6	unreviewed	A0A3M6UXT6_POCDA	PDZ domain-containing protein	pdam_00010754	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	511	Golgi apparatus [GO:0005794]; membrane [GO:0016020]; trans-Golgi network transport vesicle [GO:0030140]	negative regulation of protein localization to cell surface [GO:2000009]	GO:0005794; GO:0016020; GO:0030140; GO:0044325; GO:2000009	transmembrane transporter binding [GO:0044325]	Golgi apparatus [GO:0005794]; membrane [GO:0016020]; trans-Golgi network transport vesicle [GO:0030140]; transmembrane transporter binding [GO:0044325]; negative regulation of protein localization to cell surface [GO:2000009]	
XP_027059803.1	A0A3M6URC1	unreviewed	A0A3M6URC1_POCDA	Serine hydroxymethyltransferase (EC 2.1.2.1)	pdam_00006233	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	472	mitochondrion [GO:0005739]	glycine biosynthetic process from serine [GO:0019264]; tetrahydrofolate interconversion [GO:0035999]	GO:0004372; GO:0005739; GO:0019264; GO:0030170; GO:0035999	glycine hydroxymethyltransferase activity [GO:0004372]; pyridoxal phosphate binding [GO:0030170]	mitochondrion [GO:0005739]; glycine hydroxymethyltransferase activity [GO:0004372]; pyridoxal phosphate binding [GO:0030170]; glycine biosynthetic process from serine [GO:0019264]; tetrahydrofolate interconversion [GO:0035999]	
XP_027052457.1	A0A3M6TC56	unreviewed	A0A3M6TC56_POCDA	F-box domain-containing protein	pdam_00008154	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	860	SCF ubiquitin ligase complex [GO:0019005]	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]	GO:0019005; GO:0031146		SCF ubiquitin ligase complex [GO:0019005]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]	
XP_027056603.1	A0A3M6UX72	unreviewed	A0A3M6UX72_POCDA	G-protein coupled receptors family 2 profile 2 domain-containing protein	pdam_00000100	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	314	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]	
XP_027044701.1	A0A3M6TVB7	unreviewed	A0A3M6TVB7_POCDA	40S ribosomal protein S6	pdam_00000797	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	270	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:1990904	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	
XP_027055095.1	A0A3M6T673	unreviewed	A0A3M6T673_POCDA	Uncharacterized protein	pdam_00008977	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	305		small GTPase-mediated signal transduction [GO:0007264]	GO:0003924; GO:0005525; GO:0007264	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; small GTPase-mediated signal transduction [GO:0007264]	
XP_027059741.1	A0A3M6V4P0	unreviewed	A0A3M6V4P0_POCDA	Major facilitator superfamily (MFS) profile domain-containing protein	pdam_00003432	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	521	membrane [GO:0016020]		GO:0016020; GO:0022857	transmembrane transporter activity [GO:0022857]	membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]	
XP_022792009.1	A0A2B4S5T5	unreviewed	A0A2B4S5T5_STYPI	Mitogen-activated protein kinase kinase kinase A	mkkA AWC38_SpisGene10631	Stylophora pistillata (Smooth cauliflower coral)	1499	membrane [GO:0016020]		GO:0004674; GO:0005524; GO:0016020	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	membrane [GO:0016020]; ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	mkkA
XP_027055361.1	A0A3M6UJU7	unreviewed	A0A3M6UJU7_POCDA	Uncharacterized protein	pdam_00014904	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	152						
XP_027057350.1	A0A3M6UV90	unreviewed	A0A3M6UV90_POCDA	Peptidase A1 domain-containing protein	pdam_00005786	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	569	endosome [GO:0005768]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]	amyloid-beta metabolic process [GO:0050435]; membrane protein ectodomain proteolysis [GO:0006509]	GO:0004190; GO:0005768; GO:0005802; GO:0005886; GO:0006509; GO:0050435	aspartic-type endopeptidase activity [GO:0004190]	endosome [GO:0005768]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]; aspartic-type endopeptidase activity [GO:0004190]; amyloid-beta metabolic process [GO:0050435]; membrane protein ectodomain proteolysis [GO:0006509]	
XP_027049740.1	A0A3M6TIL7	unreviewed	A0A3M6TIL7_POCDA	Uncharacterized protein	pdam_00013989	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	496						
XP_027047917.1	A0A3M6TN05	unreviewed	A0A3M6TN05_POCDA	Major facilitator superfamily associated domain-containing protein	pdam_00023192	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	501	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]	
XP_027044062.1	A0A3M6V1U9	unreviewed	A0A3M6V1U9_POCDA	Phosphoribosyltransferase domain-containing protein	pdam_00007350	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	259						
XP_027049595.1	A0A3M6TIP5	unreviewed	A0A3M6TIP5_POCDA	ENTH domain-containing protein	pdam_00018338	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	542	clathrin vesicle coat [GO:0030125]; endosome [GO:0005768]; plasma membrane [GO:0005886]	endocytosis [GO:0006897]	GO:0005543; GO:0005768; GO:0005886; GO:0006897; GO:0030125; GO:0030276	clathrin binding [GO:0030276]; phospholipid binding [GO:0005543]	clathrin vesicle coat [GO:0030125]; endosome [GO:0005768]; plasma membrane [GO:0005886]; clathrin binding [GO:0030276]; phospholipid binding [GO:0005543]; endocytosis [GO:0006897]	
XP_027049876.1	A0A3M6TI67	unreviewed	A0A3M6TI67_POCDA	UPAR/Ly6 domain-containing protein	pdam_00003244	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	112						
XP_027046201.1	A0A3M6TSH7	unreviewed	A0A3M6TSH7_POCDA	SOCS box domain-containing protein	pdam_00002574	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	447	phosphatidylinositol 3-kinase complex [GO:0005942]	intracellular signal transduction [GO:0035556]; negative regulation of signal transduction [GO:0009968]; phosphatidylinositol phosphate biosynthetic process [GO:0046854]	GO:0005942; GO:0009968; GO:0035556; GO:0046854; GO:0046935	1-phosphatidylinositol-3-kinase regulator activity [GO:0046935]	phosphatidylinositol 3-kinase complex [GO:0005942]; 1-phosphatidylinositol-3-kinase regulator activity [GO:0046935]; intracellular signal transduction [GO:0035556]; negative regulation of signal transduction [GO:0009968]; phosphatidylinositol phosphate biosynthetic process [GO:0046854]	
XP_022791841.1	A0A2B4S8S5	unreviewed	A0A2B4S8S5_STYPI	SAP domain-containing protein	AWC38_SpisGene10543 AWC38_SpisGene22913	Stylophora pistillata (Smooth cauliflower coral)	598		DNA repair [GO:0006281]	GO:0004519; GO:0004527; GO:0006281	endonuclease activity [GO:0004519]; exonuclease activity [GO:0004527]	endonuclease activity [GO:0004519]; exonuclease activity [GO:0004527]; DNA repair [GO:0006281]	
XP_027057760.1	A0A3M6UK37	unreviewed	A0A3M6UK37_POCDA	GMP phosphodiesterase delta subunit domain-containing protein	pdam_00000323	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	221	cilium [GO:0005929]	cilium assembly [GO:0060271]; lipoprotein transport [GO:0042953]; nervous system development [GO:0007399]	GO:0005929; GO:0007399; GO:0008289; GO:0042953; GO:0060271	lipid binding [GO:0008289]	cilium [GO:0005929]; lipid binding [GO:0008289]; cilium assembly [GO:0060271]; lipoprotein transport [GO:0042953]; nervous system development [GO:0007399]	
XP_027055349.1	A0A3M6UPY5	unreviewed	A0A3M6UPY5_POCDA	tRNA (34-2'-O)-methyltransferase regulator WDR6	pdam_00016049	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1482	cytoplasm [GO:0005737]	tRNA methylation [GO:0030488]	GO:0005737; GO:0008270; GO:0030488	zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]; tRNA methylation [GO:0030488]	
XP_027049353.1	A0A3M6TJE2	unreviewed	A0A3M6TJE2_POCDA	Ubiquitin-fold modifier 1	pdam_00013070	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	87	cytoplasm [GO:0005737]; nucleus [GO:0005634]	protein K69-linked ufmylation [GO:1990592]	GO:0005634; GO:0005737; GO:1990592		cytoplasm [GO:0005737]; nucleus [GO:0005634]; protein K69-linked ufmylation [GO:1990592]	
XP_027041572.1	A0A3M6U2G7	unreviewed	A0A3M6U2G7_POCDA	Serine/threonine-protein phosphatase CPPED1 (EC 3.1.3.16) (Calcineurin-like phosphoesterase domain-containing protein 1)	pdam_00008574	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	311	cytoplasm [GO:0005737]		GO:0005737; GO:0017018; GO:0033192; GO:0046872; GO:0140791; GO:0180004; GO:0180005; GO:0180006; GO:0180007; GO:0180008; GO:1990439	calmodulin-dependent protein phosphatase activity [GO:0033192]; histone H2AXS140 phosphatase activity [GO:0140791]; MAP kinase serine/threonine phosphatase activity [GO:1990439]; metal ion binding [GO:0046872]; myosin phosphatase activity [GO:0017018]; RNA polymerase II CTD heptapeptide repeat S2 phosphatase activity [GO:0180006]; RNA polymerase II CTD heptapeptide repeat S5 phosphatase activity [GO:0180007]; RNA polymerase II CTD heptapeptide repeat S7 phosphatase activity [GO:0180008]; RNA polymerase II CTD heptapeptide repeat T4 phosphatase activity [GO:0180005]; RNA polymerase II CTD heptapeptide repeat Y1 phosphatase activity [GO:0180004]	cytoplasm [GO:0005737]; calmodulin-dependent protein phosphatase activity [GO:0033192]; histone H2AXS140 phosphatase activity [GO:0140791]; MAP kinase serine/threonine phosphatase activity [GO:1990439]; metal ion binding [GO:0046872]; myosin phosphatase activity [GO:0017018]; RNA polymerase II CTD heptapeptide repeat S2 phosphatase activity [GO:0180006]; RNA polymerase II CTD heptapeptide repeat S5 phosphatase activity [GO:0180007]; RNA polymerase II CTD heptapeptide repeat S7 phosphatase activity [GO:0180008]; RNA polymerase II CTD heptapeptide repeat T4 phosphatase activity [GO:0180005]; RNA polymerase II CTD heptapeptide repeat Y1 phosphatase activity [GO:0180004]	
XP_027046241.1	A0A3M6TSC9	unreviewed	A0A3M6TSC9_POCDA	Xylulose kinase (EC 2.7.1.17)	pdam_00002529	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	537	cytosol [GO:0005829]	D-xylose metabolic process [GO:0042732]; xylulose metabolic process [GO:0005997]	GO:0004856; GO:0005524; GO:0005829; GO:0005997; GO:0042732	ATP binding [GO:0005524]; D-xylulokinase activity [GO:0004856]	cytosol [GO:0005829]; ATP binding [GO:0005524]; D-xylulokinase activity [GO:0004856]; D-xylose metabolic process [GO:0042732]; xylulose metabolic process [GO:0005997]	
XP_022798320.1	A0A2B4R7K6	unreviewed	A0A2B4R7K6_STYPI	PiggyBac transposable element-derived protein 1	PGBD1 AWC38_SpisGene23169	Stylophora pistillata (Smooth cauliflower coral)	1307						PGBD1
XP_022798320.1	A0A2B4RWW3	unreviewed	A0A2B4RWW3_STYPI	YqaJ viral recombinase domain-containing protein	AWC38_SpisGene14799	Stylophora pistillata (Smooth cauliflower coral)	659		DNA repair [GO:0006281]	GO:0006281		DNA repair [GO:0006281]	
XP_022798320.1	A0A2B4SK96	unreviewed	A0A2B4SK96_STYPI	YqaJ viral recombinase domain-containing protein	AWC38_SpisGene4918 AWC38_SpisGene5249 AWC38_SpisGene6850	Stylophora pistillata (Smooth cauliflower coral)	422		DNA repair [GO:0006281]	GO:0006281		DNA repair [GO:0006281]	
XP_027045997.1	A0A3M6TSN5	unreviewed	A0A3M6TSN5_POCDA	G-protein coupled receptors family 1 profile domain-containing protein	pdam_00015972	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	501	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]	
XP_027039067.1	A0A3M6V314	unreviewed	A0A3M6V314_POCDA	Heat shock protein 70	pdam_00009088	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	650			GO:0005524; GO:0140662	ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]	ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]	
XP_027039067.1	K7U9Y3	unreviewed	K7U9Y3_POCDA	Heat shock protein 70	HSP70	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	246			GO:0005524; GO:0140662	ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]	ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]	HSP70
XP_027048380.1	A0A3M6TLV7	unreviewed	A0A3M6TLV7_POCDA	PEHE domain-containing protein	pdam_00009833	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1054	intracellular membrane-bounded organelle [GO:0043231]; NSL complex [GO:0044545]		GO:0035035; GO:0043231; GO:0044545	histone acetyltransferase binding [GO:0035035]	intracellular membrane-bounded organelle [GO:0043231]; NSL complex [GO:0044545]; histone acetyltransferase binding [GO:0035035]	
XP_027046320.1	A0A3M6TS19	unreviewed	A0A3M6TS19_POCDA	Regulatory protein SIR2 homolog 7 (SIR2-like protein 7)	pdam_00002527	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	481	nucleus [GO:0005634]		GO:0005634; GO:0017136; GO:0046872; GO:0070403	histone deacetylase activity, NAD-dependent [GO:0017136]; metal ion binding [GO:0046872]; NAD+ binding [GO:0070403]	nucleus [GO:0005634]; histone deacetylase activity, NAD-dependent [GO:0017136]; metal ion binding [GO:0046872]; NAD+ binding [GO:0070403]	
XP_027049294.1	A0A3M6TJV5	unreviewed	A0A3M6TJV5_POCDA	Vesicle transport protein USE1 (USE1-like protein)	pdam_00008647	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	276	endoplasmic reticulum membrane [GO:0005789]; SNARE complex [GO:0031201]	protein transport [GO:0015031]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]	GO:0005484; GO:0005789; GO:0006890; GO:0015031; GO:0031201	SNAP receptor activity [GO:0005484]	endoplasmic reticulum membrane [GO:0005789]; SNARE complex [GO:0031201]; SNAP receptor activity [GO:0005484]; protein transport [GO:0015031]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]	
XP_027037566.1	A0A3M6UC00	unreviewed	A0A3M6UC00_POCDA	Fork-head domain-containing protein	pdam_00004082	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	402	nucleus [GO:0005634]		GO:0000976; GO:0000981; GO:0005634	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; transcription cis-regulatory region binding [GO:0000976]	nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; transcription cis-regulatory region binding [GO:0000976]	
XP_027039972.1	A0A3M6U6M3	unreviewed	A0A3M6U6M3_POCDA	Hexosyltransferase (EC 2.4.1.-)	pdam_00003917	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	307	Golgi membrane [GO:0000139]	protein O-linked glycosylation [GO:0006493]	GO:0000139; GO:0006493; GO:0016758	hexosyltransferase activity [GO:0016758]	Golgi membrane [GO:0000139]; hexosyltransferase activity [GO:0016758]; protein O-linked glycosylation [GO:0006493]	
XP_027049357.1	A0A3M6TJA5	unreviewed	A0A3M6TJA5_POCDA	Uncharacterized protein	pdam_00013054	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	198			GO:0005524; GO:0061631	ATP binding [GO:0005524]; ubiquitin conjugating enzyme activity [GO:0061631]	ATP binding [GO:0005524]; ubiquitin conjugating enzyme activity [GO:0061631]	
XP_027055917.1	A0A3M6UYJ6	unreviewed	A0A3M6UYJ6_POCDA	Phosphatidic acid phosphatase type 2/haloperoxidase domain-containing protein	pdam_00010784	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	308	plasma membrane [GO:0005886]	phospholipid dephosphorylation [GO:0046839]; phospholipid metabolic process [GO:0006644]; signal transduction [GO:0007165]	GO:0005886; GO:0006644; GO:0007165; GO:0008195; GO:0046839	phosphatidate phosphatase activity [GO:0008195]	plasma membrane [GO:0005886]; phosphatidate phosphatase activity [GO:0008195]; phospholipid dephosphorylation [GO:0046839]; phospholipid metabolic process [GO:0006644]; signal transduction [GO:0007165]	
